;airplane - biplane - 1119;airplane - commercial - 1146;airplane - fighter_jet - 1168;airplane - glider - 1267;airplane - stealth_bomber - 1293;balloon_vehicle - hot_air_balloon - 1337;aircraft - helicopter - 1302;spaceship - enterprise_like - 1354;spaceship - satellite - 1388;spaceship - flying_saucer - 1375;spaceship - tie_fighter - 1401;insect - ant - 0;insect - butterfly - 9;biped - human - 118;human - human_arms_out - 219;human - walking - 259;bird - flying_bird - 34;bird - standing_bird - 27;quadruped - dog - 86;quadruped - horse - 103;quadruped - rabbit - 109;animal - snake - 82;underwater_creature - sea_turtle - 277;underwater_creature - fish - 53;blade - axe - 729;blade - knife - 718;blade - sword - 687;body_part - face - 291;body_part - hand - 323;body_part - head - 340;body_part - skull - 376;0 - book - 1789;building - barn - 458;building - church - 389;building - gazebo - 393;building - one_story_home - 423;building - skyscraper - 463;tent - one_peak_tent - 473;building - two_story_home - 438;0 - chess_set - 1589;0 - city - 1646;computer - desktop - 1768;display_device - computer_monitor - 548;0 - door - 1705;0 - eyeglasses - 580;0 - fireplace - 1797;furniture - cabinet - 952;furniture - school_desk - 763;seat - bench - 774;chair - dining_chair - 808;seat - desk_chair - 792;furniture - shelves - 844;table - rectangular - 871;round - single_leg - 933;0 - geographic_map - 1686;gun - handgun - 648;0 - hat - 1626;0 - hourglass - 592;0 - ladder - 1642;lamp - streetlight - 617;liquid_container - glass_with_stem - 494;liquid_container - pail - 510;liquid_container - vase - 527;0 - mailbox - 514;guitar - electrical_guitar - 625;0 - newtonian_toy - 1666;plant - bush - 961;plant - flowers - 970;plant - potted_plant - 989;tree - barren - 1058;tree - conical - 1079;0 - satellite_dish - 1811;sailboat - large_sail_boat - 1453;sea_vessel - ship - 1427;sea_vessel - submarine - 1463;sign - billboard - 1682;0 - sink - 1807;0 - slot_machine - 1803;0 - staircase - 1733;tool - hammer - 1109;tool - shovel - 1099;0 - umbrella - 1748;car - race_car - 1502;car - sedan - 1517;vehicle - covered_wagon - 1565;cycle - motorcycle - 1479;vehicle - monster_truck - 1560;vehicle - semi - 1570;suv - jeep - 1489;train - train_car - 1584;0 - wheel - 733;wheel - gear - 741
1;airplane - biplane - 1141;airplane - commercial - 1152;underwater_creature - fish - 57;airplane - commercial - 1164;airplane - stealth_bomber - 1295;balloon_vehicle - hot_air_balloon - 1344;biped - human - 128;0 - hat - 1630;underwater_creature - fish - 69;spaceship - flying_saucer - 1381;spaceship - tie_fighter - 1405;insect - ant - 2;bird - flying_bird - 34;biped - human - 120;tool - hammer - 1109;aircraft - helicopter - 1310;insect - butterfly - 9;bird - standing_bird - 28;aircraft - helicopter - 1302;quadruped - horse - 108;liquid_container - vase - 533;animal - snake - 85;underwater_creature - sea_turtle - 281;biped - human - 118;0 - city - 1660;blade - knife - 720;blade - knife - 722;body_part - face - 295;building - two_story_home - 446;liquid_container - vase - 541;body_part - skull - 380;table - rectangular - 917;body_part - hand - 327;display_device - computer_monitor - 554;body_part - hand - 334;car - sedan - 1531;0 - slot_machine - 1806;0 - umbrella - 1753;display_device - computer_monitor - 557;insect - butterfly - 10;building - one_story_home - 431;0 - slot_machine - 1804;body_part - head - 342;0 - door - 1710;sea_vessel - ship - 1437;0 - fireplace - 1798;computer - desktop - 1777;seat - desk_chair - 805;0 - eyeglasses - 585;table - rectangular - 903;seat - desk_chair - 801;furniture - shelves - 850;liquid_container - glass_with_stem - 498;round - single_leg - 936;0 - door - 1708;0 - eyeglasses - 584;0 - hat - 1631;0 - hourglass - 594;bird - flying_bird - 41;tool - hammer - 1111;round - single_leg - 938;plant - potted_plant - 1023;balloon_vehicle - hot_air_balloon - 1345;plant - potted_plant - 1023;guitar - electrical_guitar - 627;bird - flying_bird - 40;furniture - shelves - 856;seat - bench - 779;tree - conical - 1079;tree - barren - 1070;vehicle - semi - 1575;0 - umbrella - 1753;sailboat - large_sail_boat - 1457;sea_vessel - ship - 1431;sea_vessel - submarine - 1470;0 - door - 1711;furniture - shelves - 852;quadruped - rabbit - 109;car - sedan - 1529;human - human_arms_out - 219;insect - butterfly - 10;table - rectangular - 909;body_part - face - 311;car - sedan - 1527;vehicle - covered_wagon - 1569;gun - handgun - 658;vehicle - monster_truck - 1563;vehicle - semi - 1573;car - sedan - 1517;bird - standing_bird - 31;spaceship - flying_saucer - 1377;body_part - head - 342
2;airplane - biplane - 1121;airplane - commercial - 1156;airplane - fighter_jet - 1182;airplane - fighter_jet - 1224;airplane - stealth_bomber - 1297;body_part - head - 360;biped - human - 184;building - two_story_home - 442;vehicle - semi - 1573;body_part - hand - 332;spaceship - tie_fighter - 1402;airplane - fighter_jet - 1184;spaceship - enterprise_like - 1368;human - walking - 262;insect - ant - 4;aircraft - helicopter - 1320;seat - bench - 781;body_part - hand - 333;biped - human - 212;quadruped - horse - 107;0 - slot_machine - 1803;tree - conical - 1080;underwater_creature - sea_turtle - 278;underwater_creature - fish - 57;blade - sword - 711;blade - knife - 722;blade - knife - 718;body_part - face - 307;sea_vessel - submarine - 1471;liquid_container - vase - 543;body_part - face - 293;0 - geographic_map - 1695;building - two_story_home - 440;balloon_vehicle - hot_air_balloon - 1345;0 - umbrella - 1752;car - race_car - 1511;quadruped - rabbit - 109;0 - umbrella - 1750;furniture - cabinet - 955;guitar - electrical_guitar - 629;airplane - fighter_jet - 1196;display_device - computer_monitor - 559;body_part - head - 352;0 - geographic_map - 1691;seat - bench - 777;body_part - face - 299;body_part - head - 340;furniture - school_desk - 766;airplane - glider - 1268;seat - bench - 775;furniture - school_desk - 765;0 - geographic_map - 1689;table - rectangular - 913;0 - umbrella - 1748;0 - door - 1718;tool - shovel - 1100;0 - wheel - 733;table - rectangular - 875;tool - hammer - 1111;blade - knife - 724;airplane - biplane - 1127;balloon_vehicle - hot_air_balloon - 1340;balloon_vehicle - hot_air_balloon - 1344;vehicle - covered_wagon - 1565;guitar - electrical_guitar - 635;seat - bench - 774;spaceship - flying_saucer - 1384;seat - bench - 776;vehicle - semi - 1576;airplane - glider - 1280;tree - conical - 1082;0 - umbrella - 1752;spaceship - tie_fighter - 1403;sea_vessel - ship - 1429;sea_vessel - submarine - 1469;insect - butterfly - 13;underwater_creature - sea_turtle - 280;liquid_container - vase - 533;car - sedan - 1525;human - human_arms_out - 237;guitar - electrical_guitar - 629;wheel - gear - 743;airplane - fighter_jet - 1172;car - sedan - 1525;quadruped - rabbit - 111;cycle - motorcycle - 1481;vehicle - semi - 1576;human - human_arms_out - 227;car - sedan - 1525;quadruped - rabbit - 110;spaceship - flying_saucer - 1385;building - two_story_home - 452
3;airplane - biplane - 1133;airplane - fighter_jet - 1184;airplane - fighter_jet - 1198;airplane - glider - 1271;guitar - electrical_guitar - 634;balloon_vehicle - hot_air_balloon - 1345;biped - human - 186;building - two_story_home - 446;sea_vessel - ship - 1435;spaceship - flying_saucer - 1386;0 - hourglass - 597;airplane - fighter_jet - 1188;spaceship - enterprise_like - 1374;underwater_creature - fish - 57;human - human_arms_out - 237;aircraft - helicopter - 1328;spaceship - enterprise_like - 1368;underwater_creature - fish - 63;quadruped - dog - 92;quadruped - horse - 104;body_part - head - 354;tree - barren - 1066;underwater_creature - sea_turtle - 282;airplane - fighter_jet - 1188;0 - ladder - 1644;blade - sword - 687;blade - sword - 713;body_part - face - 319;0 - staircase - 1738;body_part - head - 344;body_part - face - 301;0 - city - 1658;0 - book - 1790;body_part - head - 364;body_part - face - 307;biped - human - 154;body_part - head - 354;tent - one_peak_tent - 474;body_part - head - 356;guitar - electrical_guitar - 637;airplane - fighter_jet - 1170;building - two_story_home - 448;body_part - head - 354;0 - ladder - 1645;tree - conical - 1080;body_part - face - 309;liquid_container - vase - 541;airplane - biplane - 1125;seat - bench - 777;plant - bush - 968;seat - desk_chair - 798;wheel - gear - 749;chair - dining_chair - 816;spaceship - flying_saucer - 1379;0 - door - 1716;insect - butterfly - 10;building - two_story_home - 442;tree - conical - 1086;lamp - streetlight - 617;sea_vessel - ship - 1437;airplane - biplane - 1131;0 - sink - 1808;body_part - head - 364;liquid_container - pail - 511;guitar - electrical_guitar - 631;0 - chess_set - 1589;spaceship - flying_saucer - 1386;airplane - glider - 1268;vehicle - monster_truck - 1561;tree - barren - 1072;train - train_car - 1588;0 - umbrella - 1749;sailboat - large_sail_boat - 1458;biped - human - 214;sea_vessel - ship - 1447;0 - chess_set - 1597;0 - umbrella - 1752;display_device - computer_monitor - 557;underwater_creature - sea_turtle - 277;insect - ant - 4;guitar - electrical_guitar - 637;0 - umbrella - 1751;biped - human - 200;car - sedan - 1521;underwater_creature - fish - 66;biped - human - 140;biped - human - 190;sea_vessel - ship - 1435;car - sedan - 1529;car - sedan - 1527;wheel - gear - 744;balloon_vehicle - hot_air_balloon - 1337
4;airplane - biplane - 1125;biped - human - 170;airplane - fighter_jet - 1218;sea_vessel - submarine - 1465;guitar - electrical_guitar - 626;body_part - head - 356;biped - human - 122;sea_vessel - submarine - 1471;underwater_creature - fish - 68;spaceship - flying_saucer - 1385;round - single_leg - 937;airplane - fighter_jet - 1204;car - race_car - 1515;biped - human - 136;airplane - fighter_jet - 1226;aircraft - helicopter - 1326;airplane - fighter_jet - 1180;quadruped - rabbit - 112;quadruped - horse - 106;human - human_arms_out - 249;quadruped - rabbit - 112;plant - bush - 969;airplane - fighter_jet - 1222;human - walking - 262;blade - knife - 718;lamp - streetlight - 624;lamp - streetlight - 624;body_part - face - 293;body_part - hand - 336;body_part - head - 346;vehicle - semi - 1576;0 - door - 1718;building - one_story_home - 428;display_device - computer_monitor - 557;0 - sink - 1809;airplane - fighter_jet - 1210;building - church - 392;spaceship - flying_saucer - 1379;building - barn - 459;tool - shovel - 1099;0 - city - 1648;computer - desktop - 1769;furniture - cabinet - 955;0 - city - 1660;table - rectangular - 907;table - rectangular - 901;liquid_container - vase - 543;chair - dining_chair - 816;tent - one_peak_tent - 475;seat - bench - 783;car - race_car - 1513;wheel - gear - 743;liquid_container - glass_with_stem - 501;table - rectangular - 919;0 - door - 1719;blade - knife - 724;building - barn - 462;0 - hourglass - 593;tool - hammer - 1112;lamp - streetlight - 623;bird - standing_bird - 30;0 - mailbox - 514;liquid_container - vase - 539;vehicle - covered_wagon - 1569;guitar - electrical_guitar - 632;insect - butterfly - 10;wheel - gear - 745;seat - bench - 777;vehicle - semi - 1575;airplane - glider - 1285;quadruped - rabbit - 111;0 - sink - 1807;furniture - shelves - 848;airplane - fighter_jet - 1224;sea_vessel - submarine - 1465;table - rectangular - 915;furniture - shelves - 854;building - two_story_home - 438;biped - human - 158;airplane - fighter_jet - 1240;blade - sword - 711;0 - umbrella - 1750;0 - city - 1654;car - sedan - 1529;balloon_vehicle - hot_air_balloon - 1341;biped - human - 160;vehicle - monster_truck - 1561;vehicle - semi - 1572;car - sedan - 1527;body_part - head - 366;liquid_container - pail - 513;display_device - computer_monitor - 558
5;airplane - biplane - 1127;airplane - fighter_jet - 1216;airplane - fighter_jet - 1258;body_part - hand - 339;guitar - electrical_guitar - 628;body_part - head - 364;spaceship - flying_saucer - 1376;underwater_creature - sea_turtle - 282;body_part - hand - 330;wheel - gear - 745;train - train_car - 1585;airplane - fighter_jet - 1240;airplane - fighter_jet - 1262;underwater_creature - fish - 56;airplane - fighter_jet - 1206;aircraft - helicopter - 1332;bird - flying_bird - 37;liquid_container - vase - 537;biped - human - 184;human - human_arms_out - 257;furniture - cabinet - 954;plant - bush - 965;0 - hat - 1627;underwater_creature - fish - 55;0 - ladder - 1643;tool - shovel - 1104;blade - axe - 732;building - one_story_home - 433;gun - handgun - 650;body_part - skull - 379;plant - potted_plant - 999;0 - city - 1656;furniture - cabinet - 957;balloon_vehicle - hot_air_balloon - 1342;0 - satellite_dish - 1814;car - race_car - 1505;body_part - head - 370;spaceship - flying_saucer - 1378;furniture - cabinet - 954;blade - axe - 731;underwater_creature - fish - 62;building - two_story_home - 452;body_part - head - 348;0 - geographic_map - 1695;plant - flowers - 972;body_part - face - 321;body_part - skull - 378;spaceship - satellite - 1394;airplane - glider - 1271;seat - bench - 782;seat - desk_chair - 799;spaceship - flying_saucer - 1379;bird - standing_bird - 30;spaceship - flying_saucer - 1383;0 - city - 1656;bird - flying_bird - 40;liquid_container - pail - 513;body_part - hand - 330;blade - knife - 724;lamp - streetlight - 619;seat - desk_chair - 804;plant - potted_plant - 1017;balloon_vehicle - hot_air_balloon - 1342;balloon_vehicle - hot_air_balloon - 1341;airplane - stealth_bomber - 1294;0 - eyeglasses - 585;building - two_story_home - 440;tree - barren - 1060;biped - human - 216;airplane - glider - 1273;underwater_creature - fish - 66;tent - one_peak_tent - 473;0 - fireplace - 1802;airplane - fighter_jet - 1214;body_part - hand - 339;sign - billboard - 1683;furniture - shelves - 844;balloon_vehicle - hot_air_balloon - 1342;sea_vessel - submarine - 1471;airplane - fighter_jet - 1232;0 - city - 1662;table - rectangular - 919;0 - geographic_map - 1690;suv - jeep - 1489;aircraft - helicopter - 1304;biped - human - 212;0 - staircase - 1733;building - skyscraper - 465;car - sedan - 1521;car - sedan - 1517;liquid_container - vase - 529;display_device - computer_monitor - 550
6;airplane - biplane - 1131;airplane - fighter_jet - 1204;underwater_creature - fish - 53;airplane - fighter_jet - 1234;blade - axe - 731;body_part - head - 342;aircraft - helicopter - 1318;0 - hat - 1631;building - skyscraper - 465;wheel - gear - 744;spaceship - satellite - 1393;airplane - fighter_jet - 1230;bird - flying_bird - 37;underwater_creature - fish - 53;airplane - fighter_jet - 1214;sea_vessel - submarine - 1468;car - race_car - 1515;bird - standing_bird - 33;biped - human - 128;underwater_creature - fish - 68;body_part - head - 370;tree - barren - 1068;0 - staircase - 1733;underwater_creature - fish - 56;guitar - electrical_guitar - 629;blade - sword - 715;airplane - glider - 1276;0 - fireplace - 1801;gun - handgun - 656;body_part - skull - 377;seat - desk_chair - 797;0 - chess_set - 1595;0 - hat - 1627;body_part - head - 360;0 - satellite_dish - 1811;car - race_car - 1506;building - one_story_home - 434;0 - umbrella - 1749;building - barn - 460;guitar - electrical_guitar - 626;airplane - fighter_jet - 1254;display_device - computer_monitor - 550;quadruped - rabbit - 109;0 - chess_set - 1594;tree - barren - 1060;human - walking - 260;body_part - head - 344;airplane - biplane - 1121;tree - conical - 1080;airplane - glider - 1267;seat - desk_chair - 800;table - rectangular - 919;liquid_container - glass_with_stem - 499;0 - umbrella - 1751;0 - door - 1711;guitar - electrical_guitar - 637;underwater_creature - sea_turtle - 282;suv - jeep - 1492;plant - bush - 967;plant - potted_plant - 1005;human - walking - 265;0 - hat - 1628;balloon_vehicle - hot_air_balloon - 1339;0 - hat - 1628;underwater_creature - fish - 65;tree - barren - 1060;spaceship - flying_saucer - 1375;blade - knife - 724;train - train_car - 1585;airplane - glider - 1276;furniture - cabinet - 953;spaceship - flying_saucer - 1379;body_part - hand - 334;airplane - fighter_jet - 1262;body_part - hand - 337;spaceship - enterprise_like - 1368;0 - satellite_dish - 1811;liquid_container - vase - 537;0 - staircase - 1738;airplane - fighter_jet - 1226;seat - bench - 776;spaceship - flying_saucer - 1379;airplane - fighter_jet - 1266;car - sedan - 1523;quadruped - dog - 90;car - race_car - 1511;building - church - 390;underwater_creature - fish - 69;building - one_story_home - 435;car - sedan - 1525;liquid_container - pail - 512;furniture - cabinet - 956
7;airplane - biplane - 1129;airplane - fighter_jet - 1182;underwater_creature - fish - 56;table - rectangular - 903;airplane - glider - 1271;balloon_vehicle - hot_air_balloon - 1342;biped - human - 156;airplane - stealth_bomber - 1296;quadruped - horse - 107;wheel - gear - 746;vehicle - semi - 1576;biped - human - 206;airplane - fighter_jet - 1198;human - human_arms_out - 235;airplane - fighter_jet - 1198;seat - desk_chair - 803;airplane - fighter_jet - 1198;underwater_creature - fish - 58;biped - human - 186;quadruped - horse - 106;liquid_container - vase - 537;0 - eyeglasses - 580;sea_vessel - submarine - 1471;biped - human - 126;airplane - glider - 1273;tool - shovel - 1103;blade - sword - 693;body_part - face - 321;underwater_creature - fish - 61;body_part - head - 348;tree - conical - 1085;0 - door - 1708;car - sedan - 1521;0 - slot_machine - 1803;body_part - hand - 335;car - race_car - 1507;body_part - hand - 333;spaceship - flying_saucer - 1383;liquid_container - vase - 533;insect - butterfly - 13;airplane - fighter_jet - 1194;body_part - head - 362;display_device - computer_monitor - 556;insect - butterfly - 15;plant - flowers - 970;building - one_story_home - 423;liquid_container - pail - 511;table - rectangular - 881;tree - barren - 1060;seat - bench - 781;biped - human - 210;furniture - shelves - 864;sailboat - large_sail_boat - 1454;tent - one_peak_tent - 473;0 - city - 1658;0 - ladder - 1642;0 - hat - 1630;computer - desktop - 1771;table - rectangular - 903;tool - hammer - 1112;airplane - biplane - 1119;plant - potted_plant - 997;underwater_creature - fish - 63;balloon_vehicle - hot_air_balloon - 1340;spaceship - enterprise_like - 1374;airplane - glider - 1268;spaceship - flying_saucer - 1381;tool - hammer - 1111;quadruped - rabbit - 111;tree - barren - 1076;train - train_car - 1585;underwater_creature - sea_turtle - 280;building - one_story_home - 428;0 - staircase - 1737;blade - knife - 721;airplane - fighter_jet - 1224;0 - umbrella - 1749;balloon_vehicle - hot_air_balloon - 1339;car - sedan - 1519;human - human_arms_out - 223;blade - axe - 729;round - single_leg - 936;car - race_car - 1515;car - sedan - 1519;balloon_vehicle - hot_air_balloon - 1340;car - race_car - 1509;car - sedan - 1525;body_part - hand - 330;bird - flying_bird - 36;train - train_car - 1588;wheel - gear - 745;balloon_vehicle - hot_air_balloon - 1344
8;spaceship - satellite - 1394;human - human_arms_out - 233;airplane - fighter_jet - 1188;airplane - fighter_jet - 1232;airplane - fighter_jet - 1224;display_device - computer_monitor - 558;biped - human - 192;car - race_car - 1510;quadruped - horse - 108;furniture - shelves - 856;vehicle - monster_truck - 1563;airplane - fighter_jet - 1244;airplane - commercial - 1160;biped - human - 134;human - human_arms_out - 223;sea_vessel - submarine - 1464;seat - bench - 775;0 - mailbox - 515;airplane - fighter_jet - 1202;underwater_creature - fish - 64;building - barn - 460;tree - barren - 1064;car - sedan - 1529;airplane - fighter_jet - 1168;lamp - streetlight - 624;tool - shovel - 1101;blade - knife - 720;building - two_story_home - 456;quadruped - horse - 105;display_device - computer_monitor - 554;building - gazebo - 394;0 - geographic_map - 1686;underwater_creature - sea_turtle - 277;liquid_container - vase - 527;building - one_story_home - 425;car - race_car - 1512;0 - mailbox - 515;0 - umbrella - 1751;furniture - cabinet - 958;guitar - electrical_guitar - 628;airplane - stealth_bomber - 1294;display_device - computer_monitor - 556;building - one_story_home - 434;insect - butterfly - 11;plant - bush - 965;body_part - face - 305;body_part - head - 346;chair - dining_chair - 810;0 - eyeglasses - 581;tree - conical - 1088;gun - handgun - 666;0 - sink - 1807;plant - potted_plant - 1025;spaceship - flying_saucer - 1378;0 - chess_set - 1590;guitar - electrical_guitar - 633;spaceship - flying_saucer - 1377;0 - satellite_dish - 1813;0 - city - 1652;blade - knife - 720;aircraft - helicopter - 1312;balloon_vehicle - hot_air_balloon - 1341;display_device - computer_monitor - 558;liquid_container - glass_with_stem - 502;human - human_arms_out - 225;guitar - electrical_guitar - 637;liquid_container - pail - 513;lamp - streetlight - 617;sea_vessel - ship - 1435;airplane - glider - 1282;0 - slot_machine - 1805;0 - umbrella - 1750;train - train_car - 1587;guitar - electrical_guitar - 636;airplane - fighter_jet - 1234;spaceship - enterprise_like - 1366;furniture - shelves - 850;furniture - cabinet - 954;car - sedan - 1523;airplane - fighter_jet - 1184;plant - bush - 967;0 - geographic_map - 1694;bird - flying_bird - 44;train - train_car - 1584;building - two_story_home - 446;underwater_creature - sea_turtle - 279;spaceship - tie_fighter - 1403;spaceship - satellite - 1388;vehicle - monster_truck - 1561;furniture - cabinet - 953;0 - hat - 1631;body_part - head - 356
9;airplane - biplane - 1123;human - human_arms_out - 235;sea_vessel - ship - 1433;airplane - glider - 1284;insect - butterfly - 12;display_device - computer_monitor - 551;human - human_arms_out - 229;human - human_arms_out - 257;quadruped - dog - 91;0 - wheel - 733;building - skyscraper - 465;airplane - fighter_jet - 1216;airplane - fighter_jet - 1218;spaceship - flying_saucer - 1376;blade - knife - 719;airplane - fighter_jet - 1190;0 - chess_set - 1597;body_part - head - 370;human - walking - 264;biped - human - 162;body_part - hand - 333;seat - bench - 777;car - sedan - 1521;biped - human - 138;0 - city - 1662;animal - snake - 84;tool - shovel - 1101;body_part - hand - 334;underwater_creature - sea_turtle - 277;liquid_container - vase - 535;body_part - face - 291;table - rectangular - 873;car - sedan - 1525;underwater_creature - fish - 63;building - one_story_home - 433;biped - human - 174;quadruped - rabbit - 112;underwater_creature - sea_turtle - 280;body_part - head - 360;0 - eyeglasses - 582;airplane - stealth_bomber - 1296;display_device - computer_monitor - 552;body_part - head - 370;0 - door - 1709;0 - eyeglasses - 583;table - rectangular - 875;computer - desktop - 1770;airplane - biplane - 1133;0 - newtonian_toy - 1666;blade - knife - 724;car - race_car - 1509;underwater_creature - sea_turtle - 280;seat - desk_chair - 804;0 - umbrella - 1750;0 - book - 1789;guitar - electrical_guitar - 628;building - two_story_home - 454;biped - human - 154;plant - potted_plant - 1005;animal - snake - 84;airplane - biplane - 1133;vehicle - covered_wagon - 1565;body_part - head - 360;0 - sink - 1808;airplane - fighter_jet - 1218;tool - shovel - 1100;body_part - hand - 332;plant - bush - 965;biped - human - 190;airplane - glider - 1281;underwater_creature - fish - 58;tent - one_peak_tent - 474;building - two_story_home - 456;airplane - fighter_jet - 1186;sea_vessel - ship - 1429;0 - geographic_map - 1686;0 - geographic_map - 1689;building - barn - 459;airplane - fighter_jet - 1222;human - human_arms_out - 251;airplane - glider - 1268;table - rectangular - 899;table - rectangular - 891;vehicle - monster_truck - 1561;aircraft - helicopter - 1336;car - race_car - 1514;train - train_car - 1587;quadruped - horse - 108;cycle - motorcycle - 1483;underwater_creature - fish - 58;0 - hat - 1626;display_device - computer_monitor - 554
10;airplane - biplane - 1135;underwater_creature - fish - 59;airplane - fighter_jet - 1242;sea_vessel - ship - 1447;guitar - electrical_guitar - 636;liquid_container - vase - 539;underwater_creature - fish - 56;seat - desk_chair - 797;aircraft - helicopter - 1306;spaceship - flying_saucer - 1384;building - gazebo - 394;airplane - commercial - 1146;airplane - fighter_jet - 1264;biped - human - 166;sea_vessel - submarine - 1469;spaceship - satellite - 1391;insect - butterfly - 12;body_part - head - 346;biped - human - 122;underwater_creature - fish - 69;building - barn - 459;0 - eyeglasses - 583;car - sedan - 1525;biped - human - 170;tree - barren - 1070;blade - axe - 730;tool - shovel - 1102;car - sedan - 1531;underwater_creature - sea_turtle - 278;liquid_container - vase - 539;body_part - face - 319;table - rectangular - 877;0 - staircase - 1733;display_device - computer_monitor - 551;0 - fireplace - 1801;building - one_story_home - 424;quadruped - rabbit - 110;0 - satellite_dish - 1811;building - two_story_home - 452;airplane - stealth_bomber - 1297;airplane - fighter_jet - 1208;computer - desktop - 1774;building - two_story_home - 438;0 - city - 1662;lamp - streetlight - 617;biped - human - 154;body_part - skull - 379;airplane - biplane - 1119;seat - bench - 776;airplane - glider - 1275;train - train_car - 1586;furniture - shelves - 854;seat - desk_chair - 795;wheel - gear - 743;0 - chess_set - 1595;plant - bush - 967;spaceship - enterprise_like - 1354;vehicle - semi - 1571;0 - staircase - 1734;0 - ladder - 1642;airplane - biplane - 1141;liquid_container - pail - 511;balloon_vehicle - hot_air_balloon - 1337;0 - mailbox - 516;guitar - electrical_guitar - 634;seat - bench - 779;liquid_container - vase - 529;sea_vessel - ship - 1437;underwater_creature - fish - 66;airplane - glider - 1272;vehicle - monster_truck - 1561;0 - umbrella - 1751;body_part - face - 291;airplane - fighter_jet - 1228;airplane - fighter_jet - 1232;car - race_car - 1515;building - one_story_home - 433;building - barn - 460;car - sedan - 1521;airplane - fighter_jet - 1214;airplane - stealth_bomber - 1297;0 - wheel - 734;spaceship - enterprise_like - 1374;car - sedan - 1533;cycle - motorcycle - 1483;biped - human - 164;biped - human - 158;sea_vessel - ship - 1441;train - train_car - 1584;car - sedan - 1521;underwater_creature - sea_turtle - 282;display_device - computer_monitor - 551
