;airplane - biplane - 1119;airplane - commercial - 1146;airplane - fighter_jet - 1168;airplane - glider - 1267;airplane - stealth_bomber - 1293;balloon_vehicle - hot_air_balloon - 1337;aircraft - helicopter - 1302;spaceship - enterprise_like - 1354;spaceship - satellite - 1388;spaceship - flying_saucer - 1375;spaceship - tie_fighter - 1401;insect - ant - 0;insect - butterfly - 9;biped - human - 118;human - human_arms_out - 219;human - walking - 259;bird - flying_bird - 34;bird - standing_bird - 27;quadruped - dog - 86;quadruped - horse - 103;quadruped - rabbit - 109;animal - snake - 82;underwater_creature - sea_turtle - 277;underwater_creature - fish - 53;blade - axe - 729;blade - knife - 718;blade - sword - 687;body_part - face - 291;body_part - hand - 323;body_part - head - 340;body_part - skull - 376;0 - book - 1789;building - barn - 458;building - church - 389;building - gazebo - 393;building - one_story_home - 423;building - skyscraper - 463;tent - one_peak_tent - 473;building - two_story_home - 438;0 - chess_set - 1589;0 - city - 1646;computer - desktop - 1768;display_device - computer_monitor - 548;0 - door - 1705;0 - eyeglasses - 580;0 - fireplace - 1797;furniture - cabinet - 952;furniture - school_desk - 763;seat - bench - 774;chair - dining_chair - 808;seat - desk_chair - 792;furniture - shelves - 844;table - rectangular - 871;round - single_leg - 933;0 - geographic_map - 1686;gun - handgun - 648;0 - hat - 1626;0 - hourglass - 592;0 - ladder - 1642;lamp - streetlight - 617;liquid_container - glass_with_stem - 494;liquid_container - pail - 510;liquid_container - vase - 527;0 - mailbox - 514;guitar - electrical_guitar - 625;0 - newtonian_toy - 1666;plant - bush - 961;plant - flowers - 970;plant - potted_plant - 989;tree - barren - 1058;tree - conical - 1079;0 - satellite_dish - 1811;sailboat - large_sail_boat - 1453;sea_vessel - ship - 1427;sea_vessel - submarine - 1463;sign - billboard - 1682;0 - sink - 1807;0 - slot_machine - 1803;0 - staircase - 1733;tool - hammer - 1109;tool - shovel - 1099;0 - umbrella - 1748;car - race_car - 1502;car - sedan - 1517;vehicle - covered_wagon - 1565;cycle - motorcycle - 1479;vehicle - monster_truck - 1560;vehicle - semi - 1570;suv - jeep - 1489;train - train_car - 1584;0 - wheel - 733;wheel - gear - 741
1;airplane - biplane - 1121;airplane - commercial - 1156;airplane - fighter_jet - 1258;airplane - commercial - 1164;airplane - stealth_bomber - 1295;liquid_container - vase - 537;aircraft - helicopter - 1320;car - race_car - 1510;body_part - hand - 330;spaceship - flying_saucer - 1385;aircraft - helicopter - 1304;insect - ant - 2;bird - flying_bird - 34;biped - human - 186;human - human_arms_out - 223;human - human_arms_out - 233;bird - flying_bird - 37;display_device - computer_monitor - 554;quadruped - dog - 92;quadruped - horse - 104;body_part - head - 344;airplane - glider - 1282;underwater_creature - sea_turtle - 281;underwater_creature - fish - 55;blade - axe - 731;blade - knife - 720;blade - knife - 722;body_part - face - 295;quadruped - dog - 92;building - church - 389;body_part - skull - 380;0 - geographic_map - 1686;body_part - hand - 327;body_part - head - 364;0 - umbrella - 1753;car - sedan - 1531;building - one_story_home - 434;0 - umbrella - 1751;furniture - cabinet - 958;insect - butterfly - 10;airplane - stealth_bomber - 1294;0 - slot_machine - 1804;body_part - head - 364;0 - door - 1710;insect - butterfly - 13;0 - fireplace - 1798;aircraft - helicopter - 1336;furniture - school_desk - 764;0 - door - 1707;tool - shovel - 1100;quadruped - dog - 92;furniture - shelves - 850;0 - city - 1654;round - single_leg - 936;0 - door - 1708;airplane - commercial - 1148;building - one_story_home - 432;0 - hourglass - 593;blade - axe - 731;sea_vessel - ship - 1437;round - single_leg - 938;building - gazebo - 396;display_device - computer_monitor - 558;0 - mailbox - 516;guitar - electrical_guitar - 635;0 - eyeglasses - 585;building - two_story_home - 440;0 - ladder - 1643;sea_vessel - ship - 1435;tree - barren - 1070;tree - conical - 1082;0 - umbrella - 1749;body_part - face - 291;sea_vessel - ship - 1429;sea_vessel - submarine - 1470;airplane - stealth_bomber - 1295;0 - satellite_dish - 1811;furniture - cabinet - 954;underwater_creature - sea_turtle - 277;airplane - fighter_jet - 1236;blade - axe - 729;tent - one_peak_tent - 473;car - race_car - 1515;car - sedan - 1527;vehicle - covered_wagon - 1569;car - race_car - 1511;vehicle - monster_truck - 1561;human - human_arms_out - 227;car - sedan - 1525;building - church - 392;liquid_container - pail - 513;body_part - head - 342
2;airplane - biplane - 1133;airplane - commercial - 1152;airplane - fighter_jet - 1218;tool - hammer - 1111;airplane - stealth_bomber - 1297;liquid_container - vase - 539;human - human_arms_out - 255;sea_vessel - submarine - 1471;underwater_creature - fish - 64;spaceship - flying_saucer - 1381;underwater_creature - fish - 64;aircraft - helicopter - 1316;bird - flying_bird - 37;human - walking - 262;human - human_arms_out - 221;human - walking - 263;airplane - glider - 1284;building - church - 389;human - human_arms_out - 233;quadruped - horse - 107;building - church - 389;airplane - glider - 1277;underwater_creature - sea_turtle - 282;underwater_creature - fish - 57;blade - sword - 701;tool - shovel - 1104;tool - shovel - 1103;body_part - face - 307;biped - human - 212;body_part - head - 370;0 - hat - 1631;0 - city - 1656;car - sedan - 1517;display_device - computer_monitor - 551;spaceship - flying_saucer - 1379;building - one_story_home - 424;0 - mailbox - 515;0 - umbrella - 1748;furniture - cabinet - 954;0 - door - 1719;underwater_creature - sea_turtle - 280;body_part - head - 362;0 - slot_machine - 1803;0 - geographic_map - 1691;bird - flying_bird - 40;0 - fireplace - 1800;quadruped - horse - 105;0 - umbrella - 1748;0 - eyeglasses - 581;blade - sword - 715;seat - desk_chair - 798;wheel - gear - 749;0 - door - 1720;airplane - biplane - 1133;0 - door - 1716;guitar - electrical_guitar - 637;0 - fireplace - 1802;biped - human - 154;spaceship - enterprise_like - 1368;lamp - streetlight - 623;blade - sword - 705;underwater_creature - fish - 68;display_device - computer_monitor - 557;bird - standing_bird - 29;guitar - electrical_guitar - 627;tree - barren - 1064;body_part - hand - 327;tree - barren - 1058;biped - human - 216;tree - barren - 1076;balloon_vehicle - hot_air_balloon - 1341;0 - umbrella - 1752;building - two_story_home - 456;sea_vessel - ship - 1431;body_part - hand - 337;airplane - stealth_bomber - 1293;0 - umbrella - 1749;body_part - head - 364;underwater_creature - sea_turtle - 282;tool - hammer - 1110;blade - axe - 731;table - rectangular - 909;0 - city - 1650;car - sedan - 1521;quadruped - horse - 105;cycle - motorcycle - 1481;furniture - shelves - 848;building - gazebo - 397;car - sedan - 1517;quadruped - rabbit - 110;spaceship - flying_saucer - 1381;liquid_container - vase - 539
3;airplane - biplane - 1131;airplane - fighter_jet - 1244;airplane - fighter_jet - 1182;airplane - commercial - 1154;0 - book - 1789;liquid_container - glass_with_stem - 500;airplane - fighter_jet - 1182;building - two_story_home - 446;vehicle - semi - 1573;spaceship - flying_saucer - 1386;round - single_leg - 937;airplane - commercial - 1150;bird - flying_bird - 47;biped - human - 182;human - human_arms_out - 237;human - human_arms_out - 235;bird - flying_bird - 43;body_part - head - 340;quadruped - dog - 91;quadruped - dog - 88;body_part - head - 364;airplane - glider - 1279;underwater_creature - sea_turtle - 278;underwater_creature - fish - 56;blade - sword - 703;blade - knife - 722;tool - shovel - 1101;0 - sink - 1807;quadruped - dog - 86;quadruped - rabbit - 109;building - one_story_home - 435;0 - door - 1714;car - sedan - 1525;underwater_creature - fish - 63;0 - city - 1648;car - race_car - 1507;body_part - hand - 332;0 - sink - 1810;body_part - head - 356;0 - newtonian_toy - 1667;0 - umbrella - 1753;computer - desktop - 1769;body_part - hand - 332;insect - butterfly - 11;insect - butterfly - 10;quadruped - dog - 92;vehicle - covered_wagon - 1569;table - rectangular - 919;0 - city - 1660;bird - flying_bird - 40;seat - desk_chair - 801;0 - wheel - 734;0 - chess_set - 1596;airplane - biplane - 1127;0 - door - 1718;guitar - electrical_guitar - 626;building - two_story_home - 442;body_part - hand - 330;guitar - electrical_guitar - 636;blade - knife - 724;liquid_container - glass_with_stem - 499;car - race_car - 1504;balloon_vehicle - hot_air_balloon - 1344;balloon_vehicle - hot_air_balloon - 1341;guitar - electrical_guitar - 631;airplane - glider - 1278;building - church - 392;0 - eyeglasses - 581;plant - potted_plant - 1013;tree - barren - 1068;building - skyscraper - 465;0 - sink - 1807;airplane - stealth_bomber - 1296;sea_vessel - ship - 1433;airplane - fighter_jet - 1234;0 - chess_set - 1596;body_part - face - 305;furniture - cabinet - 958;suv - jeep - 1489;airplane - fighter_jet - 1206;0 - geographic_map - 1691;airplane - biplane - 1127;body_part - face - 311;car - sedan - 1525;quadruped - dog - 91;car - race_car - 1509;vehicle - monster_truck - 1563;underwater_creature - fish - 69;quadruped - rabbit - 111;body_part - head - 366;spaceship - flying_saucer - 1377;body_part - head - 348
4;airplane - biplane - 1141;airplane - commercial - 1162;airplane - fighter_jet - 1236;body_part - hand - 339;0 - city - 1656;body_part - head - 342;aircraft - helicopter - 1312;human - human_arms_out - 257;underwater_creature - fish - 54;0 - slot_machine - 1806;aircraft - helicopter - 1306;airplane - fighter_jet - 1188;bird - flying_bird - 46;biped - human - 138;human - human_arms_out - 255;biped - human - 138;bird - flying_bird - 40;building - one_story_home - 434;human - walking - 264;quadruped - horse - 108;0 - slot_machine - 1803;airplane - glider - 1276;0 - staircase - 1733;underwater_creature - fish - 62;tool - shovel - 1102;blade - sword - 711;blade - knife - 718;car - sedan - 1531;sea_vessel - submarine - 1471;body_part - hand - 333;building - two_story_home - 446;0 - geographic_map - 1695;0 - staircase - 1738;display_device - computer_monitor - 554;0 - satellite_dish - 1811;biped - human - 168;display_device - computer_monitor - 554;body_part - face - 315;body_part - head - 360;0 - geographic_map - 1691;building - one_story_home - 431;balloon_vehicle - hot_air_balloon - 1343;computer - desktop - 1769;insect - butterfly - 15;airplane - stealth_bomber - 1297;seat - desk_chair - 798;quadruped - horse - 108;airplane - biplane - 1125;0 - eyeglasses - 585;chair - dining_chair - 816;seat - desk_chair - 800;spaceship - flying_saucer - 1379;0 - geographic_map - 1688;bird - flying_bird - 47;0 - door - 1714;guitar - electrical_guitar - 628;0 - hat - 1627;spaceship - satellite - 1388;airplane - stealth_bomber - 1297;tool - hammer - 1112;liquid_container - vase - 531;biped - human - 142;building - barn - 459;building - gazebo - 397;guitar - electrical_guitar - 632;airplane - glider - 1279;quadruped - rabbit - 110;tree - barren - 1076;building - two_story_home - 444;0 - ladder - 1643;bird - standing_bird - 29;liquid_container - vase - 545;building - one_story_home - 425;airplane - fighter_jet - 1214;airplane - fighter_jet - 1232;0 - geographic_map - 1687;0 - umbrella - 1752;body_part - head - 344;vehicle - monster_truck - 1563;guitar - electrical_guitar - 631;lamp - streetlight - 624;airplane - fighter_jet - 1264;0 - sink - 1810;car - sedan - 1519;quadruped - horse - 103;biped - human - 196;building - two_story_home - 440;biped - human - 154;bird - standing_bird - 32;furniture - cabinet - 953;spaceship - flying_saucer - 1375;balloon_vehicle - hot_air_balloon - 1337
5;airplane - biplane - 1127;airplane - commercial - 1150;airplane - fighter_jet - 1194;airplane - fighter_jet - 1234;0 - door - 1711;body_part - head - 348;airplane - commercial - 1156;biped - human - 210;aircraft - helicopter - 1306;building - church - 392;aircraft - helicopter - 1312;airplane - fighter_jet - 1182;bird - flying_bird - 42;biped - human - 166;human - walking - 262;airplane - fighter_jet - 1176;bird - flying_bird - 47;underwater_creature - fish - 63;biped - human - 156;bird - standing_bird - 30;0 - mailbox - 515;airplane - glider - 1281;suv - jeep - 1489;airplane - commercial - 1156;blade - sword - 711;tool - shovel - 1101;tool - shovel - 1104;0 - sink - 1809;quadruped - dog - 91;bird - standing_bird - 27;quadruped - dog - 87;0 - geographic_map - 1691;car - sedan - 1521;display_device - computer_monitor - 556;0 - city - 1646;airplane - fighter_jet - 1210;liquid_container - vase - 529;0 - umbrella - 1753;body_part - head - 352;0 - city - 1656;spaceship - flying_saucer - 1379;display_device - computer_monitor - 556;display_device - computer_monitor - 556;0 - ladder - 1645;tool - shovel - 1100;body_part - face - 299;vehicle - covered_wagon - 1565;tent - one_peak_tent - 473;plant - bush - 965;aircraft - helicopter - 1330;quadruped - horse - 103;wheel - gear - 743;spaceship - enterprise_like - 1368;airplane - biplane - 1121;0 - book - 1789;airplane - fighter_jet - 1224;display_device - computer_monitor - 555;underwater_creature - fish - 69;blade - sword - 711;sea_vessel - submarine - 1470;blade - knife - 723;building - gazebo - 395;balloon_vehicle - hot_air_balloon - 1342;balloon_vehicle - hot_air_balloon - 1340;guitar - electrical_guitar - 630;0 - door - 1707;body_part - skull - 378;0 - city - 1662;car - race_car - 1504;tree - barren - 1064;underwater_creature - fish - 58;body_part - face - 297;building - one_story_home - 431;sea_vessel - submarine - 1469;sea_vessel - ship - 1447;0 - geographic_map - 1697;body_part - face - 297;display_device - computer_monitor - 556;underwater_creature - sea_turtle - 281;airplane - fighter_jet - 1182;tree - barren - 1078;airplane - biplane - 1135;table - rectangular - 891;underwater_creature - fish - 66;furniture - cabinet - 952;building - one_story_home - 423;body_part - hand - 327;underwater_creature - fish - 61;car - sedan - 1521;0 - slot_machine - 1805;building - two_story_home - 440;liquid_container - vase - 527
6;airplane - biplane - 1123;airplane - fighter_jet - 1238;airplane - fighter_jet - 1198;guitar - electrical_guitar - 633;0 - geographic_map - 1695;wheel - gear - 741;underwater_creature - fish - 62;building - two_story_home - 442;underwater_creature - fish - 61;spaceship - flying_saucer - 1382;aircraft - helicopter - 1336;human - human_arms_out - 255;airplane - glider - 1284;biped - human - 136;underwater_creature - fish - 65;human - walking - 262;bird - flying_bird - 42;display_device - computer_monitor - 551;biped - human - 210;quadruped - dog - 91;display_device - computer_monitor - 554;tree - barren - 1068;building - one_story_home - 428;spaceship - flying_saucer - 1376;lamp - streetlight - 624;tool - shovel - 1103;blade - axe - 732;body_part - face - 297;biped - human - 210;body_part - head - 368;quadruped - horse - 104;0 - door - 1718;furniture - cabinet - 960;quadruped - rabbit - 109;0 - sink - 1807;biped - human - 196;body_part - head - 350;0 - umbrella - 1750;building - barn - 459;0 - city - 1660;biped - human - 210;0 - slot_machine - 1803;body_part - skull - 379;0 - ladder - 1644;0 - eyeglasses - 584;spaceship - satellite - 1394;biped - human - 198;airplane - biplane - 1127;0 - ladder - 1643;bird - flying_bird - 43;seat - desk_chair - 795;0 - geographic_map - 1689;sign - billboard - 1684;bird - flying_bird - 46;0 - city - 1656;tool - hammer - 1112;liquid_container - pail - 512;0 - hourglass - 594;0 - chess_set - 1595;sea_vessel - submarine - 1465;liquid_container - glass_with_stem - 497;biped - human - 164;furniture - cabinet - 956;underwater_creature - fish - 61;biped - human - 138;table - rectangular - 893;body_part - head - 350;tree - barren - 1062;body_part - hand - 335;0 - newtonian_toy - 1669;spaceship - satellite - 1393;furniture - shelves - 850;body_part - hand - 329;blade - knife - 721;sea_vessel - submarine - 1469;0 - city - 1652;car - race_car - 1511;balloon_vehicle - hot_air_balloon - 1339;car - sedan - 1529;human - human_arms_out - 251;0 - ladder - 1644;airplane - biplane - 1129;body_part - face - 315;car - sedan - 1523;quadruped - horse - 108;suv - jeep - 1490;body_part - hand - 334;biped - human - 142;underwater_creature - fish - 66;train - train_car - 1588;spaceship - flying_saucer - 1385;body_part - head - 346
7;airplane - biplane - 1125;airplane - fighter_jet - 1206;airplane - fighter_jet - 1178;airplane - commercial - 1162;blade - sword - 711;liquid_container - vase - 533;aircraft - helicopter - 1306;quadruped - horse - 108;0 - hourglass - 597;spaceship - flying_saucer - 1377;underwater_creature - fish - 61;airplane - fighter_jet - 1176;bird - flying_bird - 43;human - human_arms_out - 255;biped - human - 118;biped - human - 176;airplane - glider - 1274;balloon_vehicle - hot_air_balloon - 1338;human - walking - 263;gun - handgun - 650;balloon_vehicle - hot_air_balloon - 1344;airplane - glider - 1269;building - barn - 462;blade - knife - 719;tool - shovel - 1101;blade - axe - 730;lamp - streetlight - 622;body_part - face - 305;biped - human - 144;computer - desktop - 1776;body_part - face - 299;0 - door - 1708;car - sedan - 1523;building - barn - 460;furniture - shelves - 850;car - race_car - 1505;display_device - computer_monitor - 549;building - two_story_home - 446;balloon_vehicle - hot_air_balloon - 1342;0 - city - 1658;airplane - stealth_bomber - 1296;computer - desktop - 1774;body_part - skull - 377;blade - sword - 701;bird - flying_bird - 41;quadruped - horse - 106;liquid_container - pail - 511;airplane - biplane - 1133;tree - barren - 1062;airplane - glider - 1267;insect - ant - 3;spaceship - flying_saucer - 1378;spaceship - enterprise_like - 1374;bird - flying_bird - 42;0 - geographic_map - 1688;tool - hammer - 1111;liquid_container - pail - 513;vehicle - semi - 1572;0 - book - 1789;blade - knife - 721;building - skyscraper - 467;airplane - fighter_jet - 1256;building - one_story_home - 434;vehicle - semi - 1570;0 - geographic_map - 1690;seat - bench - 774;vehicle - monster_truck - 1561;airplane - glider - 1279;vehicle - semi - 1575;airplane - glider - 1268;0 - hourglass - 597;cycle - motorcycle - 1481;biped - human - 210;airplane - fighter_jet - 1224;tool - hammer - 1110;0 - city - 1650;cycle - motorcycle - 1481;building - two_story_home - 438;car - sedan - 1525;airplane - fighter_jet - 1178;blade - sword - 695;0 - umbrella - 1751;airplane - stealth_bomber - 1294;building - barn - 458;quadruped - dog - 89;car - race_car - 1507;spaceship - tie_fighter - 1404;human - walking - 260;car - sedan - 1527;bird - standing_bird - 31;spaceship - flying_saucer - 1382;liquid_container - vase - 537
8;spaceship - satellite - 1391;airplane - fighter_jet - 1208;airplane - fighter_jet - 1188;sea_vessel - submarine - 1470;0 - geographic_map - 1686;balloon_vehicle - hot_air_balloon - 1339;aircraft - helicopter - 1310;aircraft - helicopter - 1324;underwater_creature - fish - 69;train - train_car - 1584;spaceship - tie_fighter - 1402;airplane - fighter_jet - 1250;airplane - biplane - 1145;biped - human - 208;human - human_arms_out - 251;biped - human - 156;bird - flying_bird - 45;body_part - head - 364;aircraft - helicopter - 1302;spaceship - satellite - 1389;underwater_creature - fish - 63;airplane - glider - 1278;car - sedan - 1525;sea_vessel - ship - 1439;blade - axe - 732;animal - snake - 84;blade - knife - 720;0 - fireplace - 1801;vehicle - covered_wagon - 1565;body_part - head - 364;spaceship - enterprise_like - 1354;airplane - stealth_bomber - 1295;car - sedan - 1527;display_device - computer_monitor - 550;building - one_story_home - 431;building - one_story_home - 436;wheel - gear - 745;spaceship - enterprise_like - 1354;furniture - cabinet - 955;0 - book - 1789;spaceship - flying_saucer - 1378;balloon_vehicle - hot_air_balloon - 1339;display_device - computer_monitor - 554;0 - geographic_map - 1695;table - rectangular - 877;sign - billboard - 1685;quadruped - dog - 88;airplane - biplane - 1121;tree - barren - 1070;tool - hammer - 1111;seat - desk_chair - 797;wheel - gear - 747;0 - door - 1722;airplane - biplane - 1131;0 - door - 1721;airplane - glider - 1267;building - one_story_home - 427;sea_vessel - submarine - 1466;0 - city - 1656;sea_vessel - ship - 1447;blade - knife - 721;biped - human - 162;underwater_creature - fish - 63;0 - mailbox - 518;airplane - fighter_jet - 1266;0 - eyeglasses - 581;body_part - skull - 377;tree - barren - 1064;vehicle - semi - 1576;tree - barren - 1062;building - skyscraper - 464;spaceship - flying_saucer - 1379;body_part - face - 297;airplane - fighter_jet - 1186;blade - knife - 721;0 - city - 1656;body_part - face - 291;underwater_creature - fish - 63;building - barn - 462;sea_vessel - ship - 1439;blade - sword - 715;airplane - biplane - 1133;car - race_car - 1511;suv - jeep - 1489;quadruped - dog - 88;biped - human - 140;building - church - 391;sea_vessel - submarine - 1466;quadruped - rabbit - 110;vehicle - monster_truck - 1561;0 - book - 1790;liquid_container - glass_with_stem - 500
9;airplane - biplane - 1129;airplane - fighter_jet - 1212;airplane - fighter_jet - 1216;airplane - commercial - 1148;insect - butterfly - 13;bird - standing_bird - 33;aircraft - helicopter - 1328;vehicle - covered_wagon - 1569;human - human_arms_out - 227;furniture - cabinet - 954;spaceship - tie_fighter - 1405;airplane - commercial - 1156;airplane - glider - 1279;human - human_arms_out - 223;car - race_car - 1508;biped - human - 206;bird - flying_bird - 41;quadruped - rabbit - 109;human - human_arms_out - 221;aircraft - helicopter - 1324;display_device - computer_monitor - 556;airplane - glider - 1285;spaceship - flying_saucer - 1382;airplane - commercial - 1150;blade - sword - 687;blade - sword - 687;lamp - streetlight - 619;building - one_story_home - 425;biped - human - 156;body_part - head - 350;bird - standing_bird - 30;0 - door - 1711;building - church - 392;body_part - head - 344;0 - wheel - 734;gun - handgun - 652;0 - hat - 1627;body_part - face - 293;body_part - head - 358;insect - butterfly - 13;car - race_car - 1511;building - barn - 460;building - barn - 460;blade - sword - 697;0 - chess_set - 1595;spaceship - satellite - 1389;quadruped - dog - 91;airplane - biplane - 1129;airplane - glider - 1279;airplane - glider - 1271;spaceship - satellite - 1389;0 - satellite_dish - 1811;airplane - stealth_bomber - 1294;furniture - school_desk - 764;airplane - stealth_bomber - 1295;guitar - electrical_guitar - 634;0 - hat - 1628;insect - ant - 1;guitar - electrical_guitar - 633;tool - hammer - 1111;liquid_container - glass_with_stem - 495;biped - human - 196;furniture - cabinet - 955;human - human_arms_out - 227;airplane - fighter_jet - 1170;tent - one_peak_tent - 475;body_part - skull - 379;aircraft - helicopter - 1334;spaceship - satellite - 1393;0 - city - 1662;underwater_creature - fish - 66;furniture - shelves - 844;body_part - face - 295;sea_vessel - ship - 1437;blade - knife - 719;0 - chess_set - 1590;body_part - hand - 328;balloon_vehicle - hot_air_balloon - 1344;vehicle - monster_truck - 1561;airplane - commercial - 1150;blade - sword - 701;body_part - face - 315;0 - mailbox - 519;furniture - cabinet - 959;bird - standing_bird - 30;car - race_car - 1514;train - train_car - 1585;biped - human - 168;building - church - 392;0 - slot_machine - 1806;liquid_container - vase - 529;liquid_container - vase - 533
10;bird - flying_bird - 46;underwater_creature - fish - 53;airplane - fighter_jet - 1262;blade - knife - 724;0 - chess_set - 1595;body_part - hand - 333;underwater_creature - fish - 53;quadruped - horse - 104;underwater_creature - fish - 68;quadruped - rabbit - 110;spaceship - satellite - 1388;aircraft - helicopter - 1320;airplane - glider - 1274;biped - human - 170;tool - hammer - 1109;airplane - fighter_jet - 1192;airplane - glider - 1279;0 - hat - 1630;quadruped - horse - 103;car - race_car - 1514;furniture - cabinet - 955;tree - barren - 1064;quadruped - horse - 104;airplane - fighter_jet - 1206;blade - knife - 722;tool - hammer - 1112;blade - sword - 713;0 - umbrella - 1749;quadruped - horse - 105;balloon_vehicle - hot_air_balloon - 1345;0 - hat - 1629;0 - door - 1716;suv - jeep - 1489;display_device - computer_monitor - 559;furniture - shelves - 844;car - race_car - 1509;0 - slot_machine - 1806;airplane - biplane - 1135;display_device - computer_monitor - 556;tree - barren - 1078;gun - handgun - 662;furniture - cabinet - 958;body_part - head - 354;blade - sword - 703;sign - billboard - 1683;bird - standing_bird - 30;seat - desk_chair - 804;tent - one_peak_tent - 476;tree - barren - 1072;bird - flying_bird - 41;quadruped - dog - 91;airplane - stealth_bomber - 1296;underwater_creature - fish - 65;airplane - biplane - 1125;0 - door - 1722;guitar - electrical_guitar - 629;building - church - 391;human - walking - 260;0 - geographic_map - 1695;sea_vessel - ship - 1429;airplane - fighter_jet - 1200;car - race_car - 1505;body_part - head - 360;airplane - fighter_jet - 1202;airplane - fighter_jet - 1220;plant - bush - 965;vehicle - semi - 1574;plant - bush - 964;plant - potted_plant - 1009;0 - eyeglasses - 581;building - skyscraper - 466;body_part - face - 305;0 - satellite_dish - 1811;sea_vessel - submarine - 1465;airplane - fighter_jet - 1186;0 - chess_set - 1595;building - one_story_home - 425;building - barn - 460;building - church - 390;insect - ant - 4;airplane - glider - 1283;furniture - school_desk - 763;0 - city - 1646;body_part - hand - 327;quadruped - dog - 92;building - one_story_home - 426;0 - staircase - 1733;underwater_creature - fish - 64;train - train_car - 1588;car - sedan - 1525;underwater_creature - sea_turtle - 281;balloon_vehicle - hot_air_balloon - 1344
