;airplane - biplane - 1119;airplane - commercial - 1146;airplane - fighter_jet - 1168;airplane - glider - 1267;airplane - stealth_bomber - 1293;balloon_vehicle - hot_air_balloon - 1337;aircraft - helicopter - 1302;spaceship - enterprise_like - 1354;spaceship - satellite - 1388;spaceship - flying_saucer - 1375;spaceship - tie_fighter - 1401;insect - ant - 0;insect - butterfly - 9;biped - human - 118;human - human_arms_out - 219;human - walking - 259;bird - flying_bird - 34;bird - standing_bird - 27;quadruped - dog - 86;quadruped - horse - 103;quadruped - rabbit - 109;animal - snake - 82;underwater_creature - sea_turtle - 277;underwater_creature - fish - 53;blade - axe - 729;blade - knife - 718;blade - sword - 687;body_part - face - 291;body_part - hand - 323;body_part - head - 340;body_part - skull - 376;0 - book - 1789;building - barn - 458;building - church - 389;building - gazebo - 393;building - one_story_home - 423;building - skyscraper - 463;tent - one_peak_tent - 473;building - two_story_home - 438;0 - chess_set - 1589;0 - city - 1646;computer - desktop - 1768;display_device - computer_monitor - 548;0 - door - 1705;0 - eyeglasses - 580;0 - fireplace - 1797;furniture - cabinet - 952;furniture - school_desk - 763;seat - bench - 774;chair - dining_chair - 808;seat - desk_chair - 792;furniture - shelves - 844;table - rectangular - 871;round - single_leg - 933;0 - geographic_map - 1686;gun - handgun - 648;0 - hat - 1626;0 - hourglass - 592;0 - ladder - 1642;lamp - streetlight - 617;liquid_container - glass_with_stem - 494;liquid_container - pail - 510;liquid_container - vase - 527;0 - mailbox - 514;guitar - electrical_guitar - 625;0 - newtonian_toy - 1666;plant - bush - 961;plant - flowers - 970;plant - potted_plant - 989;tree - barren - 1058;tree - conical - 1079;0 - satellite_dish - 1811;sailboat - large_sail_boat - 1453;sea_vessel - ship - 1427;sea_vessel - submarine - 1463;sign - billboard - 1682;0 - sink - 1807;0 - slot_machine - 1803;0 - staircase - 1733;tool - hammer - 1109;tool - shovel - 1099;0 - umbrella - 1748;car - race_car - 1502;car - sedan - 1517;vehicle - covered_wagon - 1565;cycle - motorcycle - 1479;vehicle - monster_truck - 1560;vehicle - semi - 1570;suv - jeep - 1489;train - train_car - 1584;0 - wheel - 733;wheel - gear - 741
1;airplane - biplane - 1121;airplane - commercial - 1156;airplane - fighter_jet - 1258;airplane - commercial - 1164;airplane - stealth_bomber - 1295;liquid_container - vase - 537;aircraft - helicopter - 1320;human - human_arms_out - 257;body_part - hand - 330;spaceship - flying_saucer - 1381;aircraft - helicopter - 1304;insect - ant - 2;bird - flying_bird - 37;biped - human - 186;human - human_arms_out - 223;human - human_arms_out - 233;bird - flying_bird - 37;display_device - computer_monitor - 554;quadruped - dog - 92;quadruped - horse - 104;body_part - head - 344;tree - barren - 1068;underwater_creature - sea_turtle - 281;underwater_creature - fish - 57;blade - axe - 731;blade - knife - 720;blade - knife - 722;0 - sink - 1807;quadruped - dog - 92;building - church - 389;body_part - skull - 380;0 - city - 1656;body_part - hand - 327;body_part - head - 364;spaceship - flying_saucer - 1379;car - sedan - 1531;0 - mailbox - 515;0 - umbrella - 1751;body_part - head - 356;0 - door - 1719;0 - umbrella - 1753;0 - slot_machine - 1804;0 - slot_machine - 1803;0 - door - 1710;insect - butterfly - 13;0 - fireplace - 1798;aircraft - helicopter - 1336;0 - umbrella - 1748;0 - eyeglasses - 581;tool - shovel - 1100;seat - desk_chair - 798;furniture - shelves - 850;0 - city - 1654;round - single_leg - 936;0 - door - 1708;airplane - commercial - 1148;0 - hat - 1627;0 - hourglass - 594;guitar - electrical_guitar - 636;sea_vessel - ship - 1437;round - single_leg - 938;building - gazebo - 396;display_device - computer_monitor - 558;0 - mailbox - 516;guitar - electrical_guitar - 635;airplane - glider - 1278;building - church - 392;tree - barren - 1058;vehicle - semi - 1575;tree - barren - 1068;tree - conical - 1082;0 - umbrella - 1749;body_part - face - 291;sea_vessel - ship - 1429;sea_vessel - submarine - 1470;0 - chess_set - 1596;0 - satellite_dish - 1811;furniture - cabinet - 954;underwater_creature - sea_turtle - 277;airplane - fighter_jet - 1236;blade - axe - 729;tent - one_peak_tent - 473;car - race_car - 1515;car - sedan - 1527;vehicle - covered_wagon - 1569;car - race_car - 1511;vehicle - monster_truck - 1561;human - human_arms_out - 227;car - sedan - 1525;building - church - 392;spaceship - flying_saucer - 1381;body_part - head - 342
2;airplane - biplane - 1133;airplane - commercial - 1152;airplane - fighter_jet - 1218;tool - hammer - 1111;airplane - stealth_bomber - 1297;liquid_container - vase - 539;aircraft - helicopter - 1312;building - two_story_home - 446;underwater_creature - fish - 64;spaceship - flying_saucer - 1385;building - gazebo - 394;aircraft - helicopter - 1316;bird - flying_bird - 34;human - walking - 262;human - human_arms_out - 221;human - walking - 263;bird - flying_bird - 43;building - church - 389;human - human_arms_out - 233;quadruped - horse - 107;building - church - 389;airplane - glider - 1282;underwater_creature - sea_turtle - 282;underwater_creature - fish - 55;lamp - streetlight - 624;tool - shovel - 1104;tool - shovel - 1101;body_part - face - 295;biped - human - 210;body_part - head - 370;building - one_story_home - 435;0 - door - 1714;car - sedan - 1517;display_device - computer_monitor - 551;0 - umbrella - 1753;building - one_story_home - 424;display_device - computer_monitor - 555;0 - umbrella - 1748;furniture - cabinet - 958;insect - butterfly - 10;underwater_creature - sea_turtle - 280;body_part - head - 362;body_part - head - 364;0 - geographic_map - 1691;bird - flying_bird - 40;0 - fireplace - 1800;quadruped - horse - 105;furniture - school_desk - 764;0 - door - 1707;chair - dining_chair - 816;seat - desk_chair - 801;0 - wheel - 734;underwater_creature - fish - 65;airplane - biplane - 1127;0 - door - 1716;guitar - electrical_guitar - 637;0 - fireplace - 1802;0 - hourglass - 593;blade - axe - 731;lamp - streetlight - 623;blade - sword - 705;human - human_arms_out - 227;display_device - computer_monitor - 557;bird - standing_bird - 29;guitar - electrical_guitar - 627;airplane - glider - 1279;building - two_story_home - 440;0 - ladder - 1643;sea_vessel - ship - 1435;tree - barren - 1076;balloon_vehicle - hot_air_balloon - 1341;0 - umbrella - 1752;building - two_story_home - 456;sea_vessel - ship - 1431;body_part - hand - 337;0 - geographic_map - 1687;0 - umbrella - 1749;body_part - head - 364;vehicle - monster_truck - 1563;airplane - fighter_jet - 1206;blade - axe - 731;table - rectangular - 909;body_part - face - 311;car - sedan - 1521;quadruped - horse - 105;cycle - motorcycle - 1481;furniture - shelves - 848;human - walking - 260;quadruped - rabbit - 111;quadruped - rabbit - 110;spaceship - flying_saucer - 1382;liquid_container - vase - 539
3;airplane - biplane - 1131;airplane - fighter_jet - 1244;airplane - fighter_jet - 1182;airplane - fighter_jet - 1234;0 - door - 1711;liquid_container - vase - 533;human - human_arms_out - 255;car - race_car - 1510;vehicle - semi - 1573;building - church - 392;round - single_leg - 937;airplane - fighter_jet - 1174;bird - flying_bird - 46;biped - human - 182;human - human_arms_out - 237;human - human_arms_out - 235;bird - flying_bird - 40;body_part - head - 340;biped - human - 210;quadruped - horse - 108;body_part - head - 364;tree - barren - 1064;underwater_creature - sea_turtle - 278;underwater_creature - fish - 56;blade - sword - 701;blade - knife - 722;tool - shovel - 1103;body_part - face - 307;quadruped - dog - 86;quadruped - rabbit - 109;0 - hat - 1631;0 - geographic_map - 1686;car - sedan - 1525;underwater_creature - fish - 63;0 - satellite_dish - 1811;car - race_car - 1507;building - one_story_home - 434;0 - umbrella - 1750;body_part - head - 360;0 - newtonian_toy - 1667;airplane - stealth_bomber - 1294;balloon_vehicle - hot_air_balloon - 1343;computer - desktop - 1769;0 - ladder - 1645;insect - butterfly - 10;sign - billboard - 1685;vehicle - covered_wagon - 1569;table - rectangular - 919;tree - barren - 1062;aircraft - helicopter - 1330;quadruped - dog - 92;wheel - gear - 749;spaceship - enterprise_like - 1368;airplane - biplane - 1133;0 - door - 1718;guitar - electrical_guitar - 626;building - one_story_home - 432;plant - potted_plant - 1001;guitar - electrical_guitar - 633;blade - knife - 724;building - skyscraper - 467;underwater_creature - fish - 68;balloon_vehicle - hot_air_balloon - 1344;balloon_vehicle - hot_air_balloon - 1341;guitar - electrical_guitar - 631;0 - eyeglasses - 585;body_part - hand - 327;0 - city - 1662;biped - human - 216;tree - barren - 1070;plant - potted_plant - 1009;0 - sink - 1807;0 - satellite_dish - 1811;sea_vessel - submarine - 1469;airplane - fighter_jet - 1234;airplane - stealth_bomber - 1295;body_part - face - 297;furniture - cabinet - 958;suv - jeep - 1489;guitar - electrical_guitar - 631;0 - ladder - 1644;0 - umbrella - 1751;table - rectangular - 895;car - sedan - 1525;quadruped - dog - 91;car - race_car - 1509;vehicle - monster_truck - 1563;biped - human - 142;car - sedan - 1529;body_part - head - 366;spaceship - flying_saucer - 1377;body_part - head - 348
4;airplane - biplane - 1127;airplane - commercial - 1150;airplane - fighter_jet - 1236;sea_vessel - submarine - 1470;0 - book - 1789;liquid_container - glass_with_stem - 500;underwater_creature - fish - 62;bird - standing_bird - 30;0 - hourglass - 597;0 - slot_machine - 1806;aircraft - helicopter - 1312;airplane - fighter_jet - 1204;bird - flying_bird - 47;biped - human - 138;human - human_arms_out - 255;airplane - fighter_jet - 1176;airplane - glider - 1284;building - one_story_home - 434;car - race_car - 1506;quadruped - dog - 88;0 - slot_machine - 1803;airplane - glider - 1277;0 - staircase - 1733;underwater_creature - fish - 62;blade - sword - 703;blade - sword - 711;blade - knife - 718;car - sedan - 1531;sea_vessel - submarine - 1471;computer - desktop - 1776;building - two_story_home - 446;0 - door - 1718;0 - staircase - 1738;display_device - computer_monitor - 554;0 - city - 1646;car - race_car - 1505;liquid_container - vase - 529;0 - umbrella - 1753;furniture - cabinet - 954;0 - geographic_map - 1691;biped - human - 210;computer - desktop - 1774;body_part - hand - 332;blade - sword - 701;0 - eyeglasses - 584;body_part - face - 299;seat - desk_chair - 804;airplane - biplane - 1127;0 - eyeglasses - 585;bird - flying_bird - 43;seat - desk_chair - 800;wheel - gear - 743;0 - door - 1720;airplane - biplane - 1125;0 - door - 1721;guitar - electrical_guitar - 628;display_device - computer_monitor - 555;body_part - hand - 330;guitar - electrical_guitar - 637;sea_vessel - submarine - 1465;liquid_container - glass_with_stem - 499;biped - human - 162;furniture - cabinet - 956;building - gazebo - 397;guitar - electrical_guitar - 632;tree - barren - 1064;body_part - skull - 378;0 - eyeglasses - 581;spaceship - satellite - 1393;tree - barren - 1064;building - skyscraper - 465;spaceship - flying_saucer - 1378;body_part - hand - 329;airplane - fighter_jet - 1214;airplane - fighter_jet - 1232;airplane - stealth_bomber - 1293;underwater_creature - sea_turtle - 280;body_part - head - 344;underwater_creature - sea_turtle - 282;airplane - fighter_jet - 1182;tree - barren - 1078;airplane - biplane - 1127;0 - city - 1650;underwater_creature - fish - 66;quadruped - dog - 89;biped - human - 174;body_part - hand - 327;underwater_creature - fish - 69;bird - standing_bird - 32;furniture - cabinet - 953;liquid_container - pail - 513;balloon_vehicle - hot_air_balloon - 1337
5;airplane - biplane - 1141;airplane - fighter_jet - 1238;airplane - fighter_jet - 1262;body_part - hand - 339;0 - city - 1656;body_part - head - 342;airplane - fighter_jet - 1182;quadruped - horse - 108;underwater_creature - fish - 54;spaceship - flying_saucer - 1386;aircraft - helicopter - 1306;airplane - fighter_jet - 1246;bird - flying_bird - 42;biped - human - 136;human - walking - 262;biped - human - 138;airplane - glider - 1274;underwater_creature - fish - 63;biped - human - 156;bird - standing_bird - 30;furniture - cabinet - 955;airplane - glider - 1279;building - two_story_home - 442;spaceship - flying_saucer - 1376;0 - ladder - 1644;animal - snake - 84;tool - shovel - 1104;building - one_story_home - 425;biped - human - 212;body_part - hand - 333;quadruped - horse - 104;0 - door - 1708;car - sedan - 1521;display_device - computer_monitor - 556;0 - city - 1648;airplane - fighter_jet - 1210;building - one_story_home - 427;building - two_story_home - 446;body_part - head - 352;0 - city - 1656;aircraft - helicopter - 1322;computer - desktop - 1769;body_part - skull - 379;0 - ladder - 1644;sign - billboard - 1683;seat - desk_chair - 798;biped - human - 198;airplane - biplane - 1121;airplane - glider - 1278;0 - eyeglasses - 584;quadruped - horse - 103;spaceship - flying_saucer - 1378;aircraft - helicopter - 1332;bird - flying_bird - 47;0 - city - 1656;guitar - electrical_guitar - 634;liquid_container - pail - 513;biped - human - 154;airplane - stealth_bomber - 1297;tool - hammer - 1111;blade - knife - 723;biped - human - 142;building - barn - 459;building - gazebo - 394;guitar - electrical_guitar - 630;seat - bench - 774;quadruped - rabbit - 110;tree - barren - 1062;underwater_creature - fish - 66;0 - ladder - 1643;bird - standing_bird - 29;body_part - face - 297;airplane - stealth_bomber - 1296;sea_vessel - ship - 1433;sea_vessel - ship - 1447;0 - geographic_map - 1697;body_part - face - 305;display_device - computer_monitor - 556;car - sedan - 1529;tool - hammer - 1110;lamp - streetlight - 624;table - rectangular - 919;airplane - stealth_bomber - 1294;car - sedan - 1519;quadruped - horse - 103;biped - human - 196;building - two_story_home - 440;building - gazebo - 397;car - sedan - 1521;train - train_car - 1588;spaceship - flying_saucer - 1385;liquid_container - vase - 527
6;airplane - biplane - 1125;blade - knife - 719;airplane - fighter_jet - 1194;airplane - commercial - 1154;0 - geographic_map - 1686;body_part - head - 348;aircraft - helicopter - 1328;aircraft - helicopter - 1324;underwater_creature - fish - 68;train - train_car - 1584;underwater_creature - fish - 64;airplane - commercial - 1150;airplane - glider - 1274;biped - human - 120;underwater_creature - fish - 65;biped - human - 156;bird - flying_bird - 47;0 - hat - 1628;human - walking - 261;spaceship - satellite - 1389;0 - mailbox - 515;airplane - glider - 1281;car - sedan - 1529;airplane - commercial - 1156;tool - shovel - 1102;tool - shovel - 1103;blade - axe - 732;0 - sink - 1809;quadruped - dog - 91;building - one_story_home - 427;bird - standing_bird - 30;0 - geographic_map - 1695;furniture - cabinet - 960;building - barn - 460;building - one_story_home - 431;biped - human - 168;liquid_container - pail - 512;building - one_story_home - 431;building - barn - 459;seat - bench - 779;building - one_story_home - 431;0 - slot_machine - 1803;display_device - computer_monitor - 556;insect - butterfly - 11;0 - door - 1711;quadruped - dog - 92;vehicle - covered_wagon - 1565;airplane - biplane - 1133;plant - bush - 965;airplane - stealth_bomber - 1295;seat - desk_chair - 797;spaceship - flying_saucer - 1379;airplane - stealth_bomber - 1294;furniture - school_desk - 764;0 - book - 1789;airplane - glider - 1267;building - two_story_home - 442;spaceship - satellite - 1388;tool - shovel - 1100;tool - hammer - 1112;liquid_container - vase - 531;car - race_car - 1505;building - one_story_home - 434;underwater_creature - fish - 61;biped - human - 138;seat - bench - 776;train - train_car - 1584;tree - barren - 1076;building - skyscraper - 464;tree - barren - 1062;spaceship - satellite - 1393;underwater_creature - sea_turtle - 280;body_part - face - 297;blade - knife - 721;airplane - fighter_jet - 1186;0 - geographic_map - 1688;body_part - hand - 328;balloon_vehicle - hot_air_balloon - 1339;building - barn - 462;human - human_arms_out - 251;0 - geographic_map - 1691;airplane - fighter_jet - 1264;table - rectangular - 891;building - barn - 458;quadruped - horse - 108;building - one_story_home - 423;body_part - hand - 334;biped - human - 168;car - sedan - 1517;bird - standing_bird - 31;0 - book - 1790;liquid_container - vase - 533
7;airplane - biplane - 1123;airplane - commercial - 1162;airplane - fighter_jet - 1198;guitar - electrical_guitar - 633;0 - chess_set - 1590;wheel - gear - 741;airplane - commercial - 1156;biped - human - 210;underwater_creature - fish - 69;spaceship - flying_saucer - 1382;aircraft - helicopter - 1336;airplane - fighter_jet - 1182;bird - flying_bird - 43;biped - human - 166;biped - human - 118;biped - human - 206;bird - flying_bird - 41;display_device - computer_monitor - 551;quadruped - dog - 91;aircraft - helicopter - 1324;display_device - computer_monitor - 556;tree - barren - 1058;building - barn - 462;airplane - commercial - 1150;blade - sword - 711;tool - shovel - 1101;blade - knife - 720;body_part - face - 297;vehicle - covered_wagon - 1565;bird - standing_bird - 27;quadruped - dog - 87;airplane - stealth_bomber - 1295;car - sedan - 1529;quadruped - rabbit - 109;furniture - shelves - 850;gun - handgun - 658;body_part - hand - 332;underwater_creature - sea_turtle - 279;balloon_vehicle - hot_air_balloon - 1342;0 - city - 1660;spaceship - flying_saucer - 1379;display_device - computer_monitor - 556;body_part - skull - 377;insect - butterfly - 15;bird - flying_bird - 41;seat - desk_chair - 794;quadruped - horse - 108;tent - one_peak_tent - 473;0 - ladder - 1643;airplane - glider - 1267;seat - desk_chair - 799;0 - geographic_map - 1689;human - human_arms_out - 219;bird - flying_bird - 42;0 - door - 1714;0 - eyeglasses - 584;liquid_container - pail - 512;underwater_creature - fish - 69;tool - shovel - 1104;sea_vessel - submarine - 1470;liquid_container - glass_with_stem - 497;biped - human - 196;furniture - cabinet - 955;balloon_vehicle - hot_air_balloon - 1340;airplane - fighter_jet - 1266;tent - one_peak_tent - 475;body_part - head - 350;seat - bench - 774;bird - flying_bird - 36;0 - city - 1662;building - skyscraper - 464;cycle - motorcycle - 1481;biped - human - 210;sea_vessel - ship - 1437;airplane - commercial - 1162;0 - chess_set - 1591;0 - umbrella - 1752;building - two_story_home - 438;underwater_creature - sea_turtle - 281;sea_vessel - ship - 1439;blade - sword - 701;furniture - school_desk - 763;0 - city - 1646;body_part - hand - 327;quadruped - dog - 88;car - race_car - 1514;building - church - 391;biped - human - 154;computer - desktop - 1773;0 - slot_machine - 1805;spaceship - flying_saucer - 1375;body_part - head - 346
8;airplane - biplane - 1129;airplane - fighter_jet - 1206;airplane - fighter_jet - 1266;airplane - fighter_jet - 1232;0 - geographic_map - 1695;body_part - hand - 333;airplane - fighter_jet - 1208;vehicle - covered_wagon - 1565;underwater_creature - fish - 61;quadruped - rabbit - 110;spaceship - tie_fighter - 1402;airplane - fighter_jet - 1188;airplane - biplane - 1145;human - human_arms_out - 223;car - race_car - 1508;human - walking - 262;insect - butterfly - 9;building - one_story_home - 427;human - walking - 263;quadruped - dog - 91;balloon_vehicle - hot_air_balloon - 1345;tree - barren - 1066;suv - jeep - 1489;airplane - fighter_jet - 1206;tool - shovel - 1101;blade - sword - 687;lamp - streetlight - 619;body_part - face - 305;biped - human - 144;body_part - head - 364;building - two_story_home - 442;0 - geographic_map - 1691;car - sedan - 1527;body_part - head - 344;furniture - shelves - 844;car - race_car - 1509;display_device - computer_monitor - 554;0 - sink - 1810;body_part - head - 358;0 - city - 1658;aircraft - helicopter - 1326;balloon_vehicle - hot_air_balloon - 1339;body_part - head - 354;blade - sword - 691;table - rectangular - 877;quadruped - horse - 106;plant - potted_plant - 995;airplane - biplane - 1129;0 - city - 1660;tool - hammer - 1111;insect - ant - 3;wheel - gear - 747;spaceship - enterprise_like - 1372;airplane - biplane - 1121;airplane - stealth_bomber - 1295;0 - city - 1652;human - human_arms_out - 257;vehicle - semi - 1572;blade - sword - 711;sea_vessel - ship - 1447;blade - knife - 721;car - race_car - 1504;balloon_vehicle - hot_air_balloon - 1342;vehicle - semi - 1570;0 - geographic_map - 1690;0 - door - 1707;vehicle - monster_truck - 1561;plant - bush - 969;building - two_story_home - 444;0 - newtonian_toy - 1669;underwater_creature - fish - 58;liquid_container - vase - 545;building - one_story_home - 425;airplane - fighter_jet - 1224;tool - hammer - 1110;0 - door - 1716;body_part - face - 291;underwater_creature - fish - 63;building - two_story_home - 442;insect - ant - 4;blade - sword - 703;table - rectangular - 905;0 - sink - 1810;car - sedan - 1523;furniture - cabinet - 952;suv - jeep - 1490;spaceship - tie_fighter - 1404;building - one_story_home - 436;quadruped - rabbit - 110;vehicle - monster_truck - 1561;display_device - computer_monitor - 555;liquid_container - vase - 537
9;spaceship - satellite - 1391;underwater_creature - fish - 53;airplane - fighter_jet - 1188;airplane - commercial - 1162;airplane - commercial - 1160;bird - standing_bird - 33;aircraft - helicopter - 1310;quadruped - horse - 104;aircraft - helicopter - 1306;spaceship - flying_saucer - 1377;spaceship - tie_fighter - 1405;airplane - fighter_jet - 1250;airplane - glider - 1284;biped - human - 208;human - human_arms_out - 251;biped - human - 176;bird - flying_bird - 45;body_part - head - 364;aircraft - helicopter - 1302;quadruped - horse - 105;display_device - computer_monitor - 554;tree - barren - 1076;quadruped - dog - 88;airplane - commercial - 1146;0 - geographic_map - 1695;blade - axe - 730;lamp - streetlight - 622;0 - fireplace - 1801;quadruped - dog - 89;body_part - head - 368;0 - hat - 1630;0 - door - 1716;car - sedan - 1523;body_part - head - 340;0 - sink - 1807;car - race_car - 1511;wheel - gear - 745;body_part - face - 315;underwater_creature - fish - 63;0 - chess_set - 1592;spaceship - flying_saucer - 1378;building - two_story_home - 452;building - barn - 460;lamp - streetlight - 624;table - rectangular - 903;bird - standing_bird - 30;plant - potted_plant - 1031;airplane - biplane - 1125;tree - barren - 1058;bird - flying_bird - 40;seat - desk_chair - 795;0 - satellite_dish - 1811;spaceship - enterprise_like - 1374;airplane - biplane - 1131;0 - door - 1722;tool - hammer - 1112;0 - mailbox - 515;tree - conical - 1086;tool - hammer - 1112;blade - knife - 721;liquid_container - glass_with_stem - 495;vehicle - semi - 1570;underwater_creature - fish - 63;0 - mailbox - 518;airplane - fighter_jet - 1198;0 - eyeglasses - 581;body_part - skull - 379;0 - eyeglasses - 582;train - train_car - 1585;airplane - glider - 1277;building - skyscraper - 466;spaceship - flying_saucer - 1379;0 - umbrella - 1749;airplane - fighter_jet - 1186;blade - knife - 719;0 - city - 1652;airplane - stealth_bomber - 1296;building - barn - 460;car - sedan - 1525;airplane - fighter_jet - 1178;tool - shovel - 1102;airplane - biplane - 1135;body_part - face - 315;suv - jeep - 1489;quadruped - dog - 92;0 - geographic_map - 1689;building - one_story_home - 428;underwater_creature - fish - 61;0 - staircase - 1733;car - sedan - 1525;building - two_story_home - 440;liquid_container - glass_with_stem - 500
10;tent - one_peak_tent - 476;airplane - fighter_jet - 1208;airplane - fighter_jet - 1214;airplane - commercial - 1148;guitar - electrical_guitar - 636;balloon_vehicle - hot_air_balloon - 1339;aircraft - helicopter - 1308;sea_vessel - submarine - 1471;human - human_arms_out - 227;furniture - cabinet - 954;underwater_creature - fish - 61;airplane - fighter_jet - 1208;bird - flying_bird - 45;biped - human - 170;0 - mailbox - 519;airplane - fighter_jet - 1192;bird - flying_bird - 42;balloon_vehicle - hot_air_balloon - 1338;human - walking - 264;gun - handgun - 650;body_part - head - 340;airplane - glider - 1278;building - one_story_home - 428;gun - handgun - 660;blade - axe - 732;tool - hammer - 1112;blade - sword - 713;underwater_creature - sea_turtle - 280;quadruped - horse - 105;body_part - head - 350;spaceship - enterprise_like - 1354;airplane - stealth_bomber - 1297;building - church - 392;display_device - computer_monitor - 550;0 - fireplace - 1800;building - one_story_home - 436;body_part - head - 350;aircraft - helicopter - 1324;building - barn - 460;0 - eyeglasses - 582;0 - fireplace - 1800;building - barn - 460;building - two_story_home - 438;blade - sword - 697;airplane - stealth_bomber - 1297;seat - desk_chair - 799;building - one_story_home - 429;round - single_leg - 933;airplane - glider - 1270;spaceship - enterprise_like - 1356;spaceship - satellite - 1389;airplane - stealth_bomber - 1296;0 - mailbox - 519;bird - flying_bird - 46;0 - geographic_map - 1688;guitar - electrical_guitar - 629;underwater_creature - sea_turtle - 277;insect - ant - 1;blade - sword - 695;sea_vessel - ship - 1429;airplane - fighter_jet - 1200;biped - human - 164;building - two_story_home - 438;human - human_arms_out - 227;airplane - fighter_jet - 1170;table - rectangular - 893;body_part - skull - 377;tree - barren - 1064;car - sedan - 1527;0 - eyeglasses - 586;biped - human - 216;0 - umbrella - 1753;wheel - gear - 748;sea_vessel - submarine - 1465;sea_vessel - submarine - 1469;0 - geographic_map - 1686;building - one_story_home - 425;balloon_vehicle - hot_air_balloon - 1344;building - church - 390;airplane - commercial - 1150;blade - sword - 695;airplane - biplane - 1129;aircraft - helicopter - 1330;furniture - cabinet - 959;bird - standing_bird - 30;car - race_car - 1507;building - church - 390;sea_vessel - submarine - 1466;bird - flying_bird - 36;0 - slot_machine - 1806;underwater_creature - sea_turtle - 277;balloon_vehicle - hot_air_balloon - 1344
