;airplane - biplane - 1119;airplane - commercial - 1146;airplane - fighter_jet - 1168;airplane - glider - 1267;airplane - stealth_bomber - 1293;balloon_vehicle - hot_air_balloon - 1337;aircraft - helicopter - 1302;spaceship - enterprise_like - 1354;spaceship - satellite - 1388;spaceship - flying_saucer - 1375;spaceship - tie_fighter - 1401;insect - ant - 0;insect - butterfly - 9;biped - human - 118;human - human_arms_out - 219;human - walking - 259;bird - flying_bird - 34;bird - standing_bird - 27;quadruped - dog - 86;quadruped - horse - 103;quadruped - rabbit - 109;animal - snake - 82;underwater_creature - sea_turtle - 277;underwater_creature - fish - 53;blade - axe - 729;blade - knife - 718;blade - sword - 687;body_part - face - 291;body_part - hand - 323;body_part - head - 340;body_part - skull - 376;0 - book - 1789;building - barn - 458;building - church - 389;building - gazebo - 393;building - one_story_home - 423;building - skyscraper - 463;tent - one_peak_tent - 473;building - two_story_home - 438;0 - chess_set - 1589;0 - city - 1646;computer - desktop - 1768;display_device - computer_monitor - 548;0 - door - 1705;0 - eyeglasses - 580;0 - fireplace - 1797;furniture - cabinet - 952;furniture - school_desk - 763;seat - bench - 774;chair - dining_chair - 808;seat - desk_chair - 792;furniture - shelves - 844;table - rectangular - 871;round - single_leg - 933;0 - geographic_map - 1686;gun - handgun - 648;0 - hat - 1626;0 - hourglass - 592;0 - ladder - 1642;lamp - streetlight - 617;liquid_container - glass_with_stem - 494;liquid_container - pail - 510;liquid_container - vase - 527;0 - mailbox - 514;guitar - electrical_guitar - 625;0 - newtonian_toy - 1666;plant - bush - 961;plant - flowers - 970;plant - potted_plant - 989;tree - barren - 1058;tree - conical - 1079;0 - satellite_dish - 1811;sailboat - large_sail_boat - 1453;sea_vessel - ship - 1427;sea_vessel - submarine - 1463;sign - billboard - 1682;0 - sink - 1807;0 - slot_machine - 1803;0 - staircase - 1733;tool - hammer - 1109;tool - shovel - 1099;0 - umbrella - 1748;car - race_car - 1502;car - sedan - 1517;vehicle - covered_wagon - 1565;cycle - motorcycle - 1479;vehicle - monster_truck - 1560;vehicle - semi - 1570;suv - jeep - 1489;train - train_car - 1584;0 - wheel - 733;wheel - gear - 741
1;airplane - biplane - 1127;airplane - commercial - 1162;airplane - fighter_jet - 1218;airplane - fighter_jet - 1234;airplane - fighter_jet - 1246;liquid_container - vase - 539;underwater_creature - fish - 60;0 - city - 1646;aircraft - helicopter - 1306;spaceship - flying_saucer - 1385;round - single_leg - 937;insect - ant - 2;bird - flying_bird - 40;biped - human - 174;underwater_creature - fish - 65;human - human_arms_out - 235;bird - flying_bird - 43;0 - hat - 1630;quadruped - horse - 107;quadruped - horse - 104;0 - slot_machine - 1803;0 - geographic_map - 1696;underwater_creature - sea_turtle - 281;underwater_creature - fish - 55;tool - shovel - 1102;blade - knife - 720;blade - knife - 722;body_part - face - 295;sea_vessel - submarine - 1471;building - church - 389;body_part - skull - 380;0 - door - 1705;0 - book - 1792;body_part - head - 364;0 - satellite_dish - 1811;building - one_story_home - 436;spaceship - flying_saucer - 1381;0 - umbrella - 1753;furniture - cabinet - 955;0 - fireplace - 1800;building - two_story_home - 446;0 - slot_machine - 1804;building - two_story_home - 448;0 - book - 1789;airplane - glider - 1277;0 - fireplace - 1800;liquid_container - pail - 511;furniture - school_desk - 765;0 - door - 1707;blade - sword - 691;seat - desk_chair - 801;furniture - shelves - 850;human - human_arms_out - 243;round - single_leg - 936;0 - geographic_map - 1689;tool - hammer - 1109;building - one_story_home - 432;blade - knife - 720;building - skyscraper - 467;blade - sword - 715;liquid_container - glass_with_stem - 501;human - human_arms_out - 223;balloon_vehicle - hot_air_balloon - 1342;0 - mailbox - 516;guitar - electrical_guitar - 627;0 - eyeglasses - 586;body_part - hand - 327;0 - geographic_map - 1696;human - human_arms_out - 253;plant - bush - 964;building - skyscraper - 465;body_part - face - 315;display_device - computer_monitor - 555;sea_vessel - ship - 1433;sea_vessel - submarine - 1470;0 - newtonian_toy - 1667;liquid_container - pail - 513;liquid_container - vase - 537;bird - standing_bird - 32;guitar - electrical_guitar - 633;plant - potted_plant - 1029;table - rectangular - 919;body_part - face - 305;car - sedan - 1521;vehicle - covered_wagon - 1569;suv - jeep - 1493;biped - human - 174;blade - knife - 721;car - sedan - 1533;furniture - cabinet - 958;wheel - gear - 748;balloon_vehicle - hot_air_balloon - 1337
2;airplane - biplane - 1129;airplane - commercial - 1152;airplane - fighter_jet - 1182;airplane - commercial - 1164;tree - barren - 1078;wheel - gear - 741;airplane - fighter_jet - 1210;sea_vessel - submarine - 1471;aircraft - helicopter - 1312;spaceship - flying_saucer - 1381;spaceship - tie_fighter - 1402;airplane - fighter_jet - 1188;bird - flying_bird - 41;biped - human - 186;airplane - fighter_jet - 1186;human - walking - 263;bird - flying_bird - 37;underwater_creature - fish - 63;quadruped - horse - 106;quadruped - dog - 88;building - two_story_home - 448;airplane - glider - 1275;body_part - hand - 332;building - one_story_home - 436;airplane - fighter_jet - 1184;tool - shovel - 1103;blade - sword - 713;body_part - face - 305;building - church - 391;bird - standing_bird - 27;0 - fireplace - 1797;table - rectangular - 911;train - train_car - 1584;underwater_creature - fish - 63;body_part - face - 321;cycle - motorcycle - 1482;spaceship - flying_saucer - 1375;0 - umbrella - 1752;balloon_vehicle - hot_air_balloon - 1342;0 - satellite_dish - 1811;building - barn - 461;building - church - 392;display_device - computer_monitor - 556;0 - chess_set - 1596;tree - barren - 1058;bird - flying_bird - 35;vehicle - covered_wagon - 1569;airplane - biplane - 1131;tree - barren - 1076;bird - flying_bird - 43;quadruped - dog - 92;spaceship - flying_saucer - 1381;0 - hourglass - 596;tent - one_peak_tent - 475;0 - geographic_map - 1694;guitar - electrical_guitar - 633;0 - hat - 1628;blade - knife - 718;blade - knife - 723;blade - sword - 693;liquid_container - glass_with_stem - 496;airplane - fighter_jet - 1220;balloon_vehicle - hot_air_balloon - 1339;0 - mailbox - 518;guitar - electrical_guitar - 634;plant - bush - 964;furniture - shelves - 852;aircraft - helicopter - 1334;biped - human - 208;0 - geographic_map - 1696;0 - staircase - 1737;airplane - fighter_jet - 1192;body_part - face - 291;sea_vessel - ship - 1429;animal - snake - 84;aircraft - helicopter - 1316;building - barn - 462;balloon_vehicle - hot_air_balloon - 1345;airplane - fighter_jet - 1210;blade - sword - 701;human - human_arms_out - 247;0 - umbrella - 1751;body_part - face - 307;car - sedan - 1519;furniture - cabinet - 952;suv - jeep - 1491;biped - human - 146;biped - human - 134;car - sedan - 1525;train - train_car - 1588;0 - hat - 1627;body_part - head - 342
3;bird - flying_bird - 45;airplane - commercial - 1158;airplane - fighter_jet - 1258;airplane - fighter_jet - 1232;airplane - fighter_jet - 1190;balloon_vehicle - hot_air_balloon - 1345;aircraft - helicopter - 1304;body_part - hand - 323;aircraft - helicopter - 1320;display_device - computer_monitor - 548;spaceship - tie_fighter - 1405;airplane - fighter_jet - 1214;bird - flying_bird - 37;biped - human - 178;airplane - commercial - 1150;underwater_creature - fish - 65;bird - flying_bird - 41;underwater_creature - sea_turtle - 282;quadruped - dog - 92;airplane - fighter_jet - 1222;building - church - 389;airplane - glider - 1273;quadruped - rabbit - 112;gun - handgun - 666;tool - hammer - 1109;0 - hourglass - 592;blade - sword - 717;body_part - face - 297;airplane - fighter_jet - 1222;body_part - head - 364;body_part - face - 299;0 - chess_set - 1590;0 - door - 1715;display_device - computer_monitor - 551;tent - one_peak_tent - 476;biped - human - 166;spaceship - flying_saucer - 1385;0 - umbrella - 1748;display_device - computer_monitor - 557;0 - umbrella - 1751;computer - desktop - 1772;body_part - head - 362;body_part - hand - 332;table - rectangular - 911;0 - geographic_map - 1696;insect - butterfly - 9;vehicle - covered_wagon - 1565;0 - umbrella - 1749;plant - bush - 964;blade - sword - 715;airplane - fighter_jet - 1252;0 - sink - 1809;human - human_arms_out - 237;airplane - glider - 1278;furniture - cabinet - 959;guitar - electrical_guitar - 637;bird - standing_bird - 27;tool - shovel - 1103;airplane - fighter_jet - 1224;blade - sword - 689;liquid_container - glass_with_stem - 498;airplane - fighter_jet - 1238;balloon_vehicle - hot_air_balloon - 1345;bird - standing_bird - 29;guitar - electrical_guitar - 632;0 - geographic_map - 1696;furniture - shelves - 856;tree - conical - 1080;airplane - fighter_jet - 1172;airplane - glider - 1277;furniture - cabinet - 959;aircraft - helicopter - 1322;body_part - face - 295;sea_vessel - ship - 1431;sea_vessel - ship - 1447;seat - desk_chair - 806;liquid_container - vase - 529;furniture - cabinet - 954;building - two_story_home - 446;blade - knife - 722;human - walking - 265;tent - one_peak_tent - 473;cycle - motorcycle - 1481;car - sedan - 1523;underwater_creature - sea_turtle - 282;aircraft - helicopter - 1330;cycle - motorcycle - 1481;sea_vessel - submarine - 1468;bird - standing_bird - 32;0 - book - 1792;spaceship - flying_saucer - 1381;balloon_vehicle - hot_air_balloon - 1345
4;airplane - biplane - 1131;airplane - fighter_jet - 1246;airplane - fighter_jet - 1188;aircraft - helicopter - 1332;airplane - fighter_jet - 1240;balloon_vehicle - hot_air_balloon - 1344;car - race_car - 1514;building - barn - 461;spaceship - tie_fighter - 1402;building - skyscraper - 463;round - single_leg - 938;aircraft - helicopter - 1316;bird - flying_bird - 34;biped - human - 212;human - human_arms_out - 223;aircraft - helicopter - 1316;airplane - glider - 1278;body_part - head - 340;quadruped - dog - 87;quadruped - horse - 107;body_part - head - 342;airplane - glider - 1277;liquid_container - vase - 537;underwater_creature - fish - 69;insect - ant - 4;tool - hammer - 1110;lamp - streetlight - 619;body_part - face - 311;quadruped - horse - 105;underwater_creature - fish - 63;bird - flying_bird - 35;0 - chess_set - 1591;building - church - 392;display_device - computer_monitor - 556;body_part - face - 309;underwater_creature - fish - 53;body_part - hand - 332;0 - umbrella - 1749;body_part - head - 356;0 - umbrella - 1750;building - two_story_home - 442;0 - slot_machine - 1806;0 - slot_machine - 1806;0 - door - 1721;airplane - glider - 1270;bird - flying_bird - 40;computer - desktop - 1777;0 - umbrella - 1751;airplane - glider - 1270;seat - desk_chair - 805;human - human_arms_out - 243;0 - wheel - 734;aircraft - helicopter - 1322;bird - flying_bird - 34;car - sedan - 1527;guitar - electrical_guitar - 636;underwater_creature - sea_turtle - 282;insect - ant - 1;spaceship - enterprise_like - 1368;blade - sword - 707;liquid_container - glass_with_stem - 495;airplane - fighter_jet - 1236;balloon_vehicle - hot_air_balloon - 1344;spaceship - satellite - 1393;biped - human - 170;plant - bush - 965;furniture - shelves - 848;airplane - glider - 1278;biped - human - 126;tree - barren - 1062;0 - staircase - 1734;airplane - stealth_bomber - 1293;building - barn - 461;sea_vessel - ship - 1437;sea_vessel - submarine - 1468;aircraft - helicopter - 1308;underwater_creature - sea_turtle - 280;0 - slot_machine - 1806;quadruped - dog - 90;tool - hammer - 1112;spaceship - enterprise_like - 1370;0 - umbrella - 1753;aircraft - helicopter - 1330;car - sedan - 1527;0 - hat - 1631;human - walking - 264;car - race_car - 1508;sea_vessel - ship - 1445;vehicle - monster_truck - 1561;0 - slot_machine - 1805;spaceship - flying_saucer - 1375;liquid_container - vase - 539
5;airplane - biplane - 1125;airplane - fighter_jet - 1204;airplane - fighter_jet - 1198;aircraft - helicopter - 1316;insect - ant - 3;display_device - computer_monitor - 557;underwater_creature - fish - 64;vehicle - covered_wagon - 1569;spaceship - tie_fighter - 1405;furniture - cabinet - 957;liquid_container - vase - 531;airplane - fighter_jet - 1204;bird - flying_bird - 45;biped - human - 136;human - human_arms_out - 221;airplane - fighter_jet - 1240;bird - flying_bird - 40;building - one_story_home - 432;quadruped - dog - 91;building - barn - 462;display_device - computer_monitor - 556;tree - barren - 1070;body_part - hand - 333;underwater_creature - fish - 67;human - human_arms_out - 233;insect - ant - 1;tool - hammer - 1112;building - church - 390;body_part - hand - 336;body_part - head - 342;0 - fireplace - 1800;table - rectangular - 909;0 - book - 1790;balloon_vehicle - hot_air_balloon - 1345;body_part - face - 315;body_part - hand - 337;building - two_story_home - 448;0 - umbrella - 1751;body_part - head - 358;insect - butterfly - 13;building - one_story_home - 432;computer - desktop - 1769;body_part - head - 364;0 - chess_set - 1590;0 - ladder - 1643;bird - flying_bird - 41;bird - standing_bird - 33;0 - umbrella - 1750;airplane - biplane - 1139;airplane - fighter_jet - 1232;airplane - fighter_jet - 1188;building - two_story_home - 440;tool - hammer - 1111;airplane - glider - 1267;0 - geographic_map - 1695;computer - desktop - 1771;0 - hat - 1630;0 - hourglass - 594;spaceship - enterprise_like - 1374;blade - sword - 699;liquid_container - glass_with_stem - 502;airplane - fighter_jet - 1180;building - barn - 459;building - one_story_home - 436;guitar - electrical_guitar - 631;airplane - glider - 1270;0 - staircase - 1738;airplane - glider - 1270;human - human_arms_out - 249;tree - barren - 1072;animal - snake - 84;airplane - fighter_jet - 1176;building - one_story_home - 427;sea_vessel - submarine - 1469;sea_vessel - submarine - 1466;aircraft - helicopter - 1322;0 - geographic_map - 1697;building - barn - 460;quadruped - horse - 104;blade - knife - 720;sailboat - large_sail_boat - 1455;0 - umbrella - 1750;car - race_car - 1508;car - sedan - 1525;building - one_story_home - 432;car - race_car - 1515;human - walking - 262;sea_vessel - ship - 1447;quadruped - rabbit - 111;body_part - head - 366;underwater_creature - sea_turtle - 280;display_device - computer_monitor - 558
6;aircraft - helicopter - 1326;bird - flying_bird - 39;airplane - fighter_jet - 1178;airplane - fighter_jet - 1212;airplane - fighter_jet - 1212;liquid_container - vase - 527;cycle - motorcycle - 1484;body_part - hand - 336;underwater_creature - fish - 65;spaceship - flying_saucer - 1383;lamp - streetlight - 619;airplane - fighter_jet - 1212;airplane - commercial - 1164;biped - human - 152;human - human_arms_out - 237;airplane - fighter_jet - 1190;airplane - glider - 1270;liquid_container - vase - 539;airplane - fighter_jet - 1198;sea_vessel - submarine - 1471;balloon_vehicle - hot_air_balloon - 1345;airplane - glider - 1270;display_device - computer_monitor - 549;underwater_creature - fish - 57;human - walking - 262;0 - hourglass - 594;blade - sword - 693;car - race_car - 1502;quadruped - dog - 88;body_part - hand - 333;human - human_arms_out - 239;table - rectangular - 895;car - sedan - 1521;display_device - computer_monitor - 557;cycle - motorcycle - 1479;plant - potted_plant - 993;display_device - computer_monitor - 548;0 - umbrella - 1750;balloon_vehicle - hot_air_balloon - 1345;furniture - school_desk - 765;spaceship - enterprise_like - 1354;balloon_vehicle - hot_air_balloon - 1343;furniture - cabinet - 955;table - rectangular - 895;airplane - glider - 1273;body_part - skull - 380;0 - hat - 1631;0 - umbrella - 1752;0 - geographic_map - 1696;airplane - fighter_jet - 1234;seat - desk_chair - 797;furniture - shelves - 866;human - human_arms_out - 245;airplane - commercial - 1160;0 - geographic_map - 1688;plant - potted_plant - 993;0 - hat - 1631;blade - sword - 701;airplane - fighter_jet - 1220;blade - sword - 709;balloon_vehicle - hot_air_balloon - 1340;airplane - fighter_jet - 1260;body_part - head - 356;body_part - hand - 324;biped - human - 162;tree - barren - 1058;furniture - cabinet - 960;0 - door - 1707;biped - human - 182;tree - barren - 1076;0 - door - 1708;airplane - commercial - 1148;seat - bench - 778;sea_vessel - submarine - 1465;sea_vessel - ship - 1445;blade - sword - 695;body_part - head - 350;display_device - computer_monitor - 556;underwater_creature - fish - 62;airplane - fighter_jet - 1178;spaceship - enterprise_like - 1366;0 - umbrella - 1749;suv - jeep - 1491;furniture - cabinet - 960;computer - desktop - 1777;suv - jeep - 1490;biped - human - 166;vehicle - semi - 1573;underwater_creature - fish - 58;furniture - cabinet - 953;display_device - computer_monitor - 549;balloon_vehicle - hot_air_balloon - 1344
7;airplane - biplane - 1133;airplane - fighter_jet - 1206;airplane - fighter_jet - 1204;aircraft - helicopter - 1328;underwater_creature - fish - 65;display_device - computer_monitor - 558;quadruped - dog - 90;building - church - 391;airplane - fighter_jet - 1240;building - two_story_home - 448;spaceship - satellite - 1388;airplane - fighter_jet - 1236;airplane - biplane - 1133;biped - human - 166;insect - ant - 4;airplane - fighter_jet - 1230;insect - butterfly - 9;building - church - 389;quadruped - dog - 90;quadruped - dog - 90;body_part - hand - 333;airplane - glider - 1272;building - one_story_home - 434;underwater_creature - fish - 59;airplane - fighter_jet - 1226;guitar - electrical_guitar - 637;lamp - streetlight - 620;body_part - hand - 329;airplane - fighter_jet - 1196;quadruped - rabbit - 109;airplane - commercial - 1162;0 - chess_set - 1596;0 - geographic_map - 1694;balloon_vehicle - hot_air_balloon - 1337;body_part - face - 291;car - sedan - 1531;spaceship - flying_saucer - 1382;0 - city - 1658;furniture - cabinet - 958;0 - umbrella - 1753;display_device - computer_monitor - 555;display_device - computer_monitor - 556;building - one_story_home - 434;0 - fireplace - 1801;airplane - glider - 1280;body_part - skull - 376;body_part - head - 346;airplane - biplane - 1119;aircraft - helicopter - 1334;airplane - glider - 1278;biped - human - 148;underwater_creature - sea_turtle - 280;blade - sword - 695;insect - butterfly - 13;building - barn - 458;body_part - hand - 338;building - two_story_home - 442;tool - hammer - 1110;airplane - fighter_jet - 1242;blade - sword - 713;building - skyscraper - 467;airplane - fighter_jet - 1262;body_part - head - 360;underwater_creature - fish - 57;0 - mailbox - 516;tree - barren - 1070;airplane - stealth_bomber - 1296;0 - eyeglasses - 582;plant - potted_plant - 995;tree - barren - 1068;0 - geographic_map - 1694;aircraft - helicopter - 1324;building - church - 390;sea_vessel - submarine - 1467;vehicle - semi - 1573;human - human_arms_out - 243;building - two_story_home - 440;body_part - head - 354;building - barn - 462;airplane - fighter_jet - 1238;0 - satellite_dish - 1812;0 - umbrella - 1752;human - walking - 261;0 - staircase - 1738;computer - desktop - 1773;cycle - motorcycle - 1481;biped - human - 204;building - skyscraper - 464;car - sedan - 1529;underwater_creature - fish - 58;spaceship - flying_saucer - 1383;liquid_container - vase - 543
8;airplane - biplane - 1123;airplane - fighter_jet - 1214;airplane - fighter_jet - 1216;aircraft - helicopter - 1310;airplane - commercial - 1166;display_device - computer_monitor - 551;spaceship - tie_fighter - 1403;building - one_story_home - 432;airplane - fighter_jet - 1246;wheel - gear - 746;0 - hourglass - 597;airplane - fighter_jet - 1246;0 - fireplace - 1797;underwater_creature - fish - 55;airplane - fighter_jet - 1204;airplane - fighter_jet - 1246;seat - desk_chair - 805;0 - hat - 1631;car - race_car - 1506;quadruped - horse - 105;body_part - head - 344;chair - dining_chair - 808;0 - slot_machine - 1806;biped - human - 168;blade - sword - 701;blade - knife - 722;0 - hourglass - 593;0 - door - 1717;airplane - fighter_jet - 1208;liquid_container - vase - 539;airplane - fighter_jet - 1250;0 - fireplace - 1801;body_part - hand - 327;building - one_story_home - 434;airplane - biplane - 1137;underwater_creature - fish - 67;spaceship - flying_saucer - 1377;0 - sink - 1810;building - barn - 459;table - rectangular - 903;building - two_story_home - 440;0 - book - 1791;display_device - computer_monitor - 551;0 - chess_set - 1591;airplane - glider - 1275;sailboat - large_sail_boat - 1454;computer - desktop - 1778;body_part - skull - 376;airplane - glider - 1272;aircraft - helicopter - 1328;airplane - fighter_jet - 1218;body_part - hand - 334;underwater_creature - fish - 65;bird - flying_bird - 43;0 - door - 1708;airplane - fighter_jet - 1198;computer - desktop - 1777;guitar - electrical_guitar - 637;airplane - fighter_jet - 1244;round - single_leg - 935;liquid_container - glass_with_stem - 499;biped - human - 198;display_device - computer_monitor - 557;underwater_creature - fish - 67;biped - human - 152;tree - barren - 1062;sign - billboard - 1684;seat - bench - 774;liquid_container - pail - 510;tree - barren - 1064;car - sedan - 1527;airplane - fighter_jet - 1190;0 - fireplace - 1802;sea_vessel - ship - 1439;blade - knife - 719;aircraft - helicopter - 1328;airplane - stealth_bomber - 1294;quadruped - rabbit - 112;quadruped - dog - 87;tool - shovel - 1101;airplane - glider - 1271;table - rectangular - 909;car - race_car - 1509;car - sedan - 1533;quadruped - horse - 105;human - walking - 263;biped - human - 156;spaceship - flying_saucer - 1376;liquid_container - vase - 537;0 - slot_machine - 1806;underwater_creature - sea_turtle - 277;liquid_container - vase - 541
9;bird - flying_bird - 42;airplane - fighter_jet - 1220;airplane - fighter_jet - 1226;airplane - commercial - 1162;insect - butterfly - 13;underwater_creature - fish - 63;quadruped - horse - 106;quadruped - dog - 92;airplane - fighter_jet - 1206;spaceship - flying_saucer - 1382;airplane - fighter_jet - 1178;human - human_arms_out - 219;bird - flying_bird - 47;biped - human - 162;aircraft - helicopter - 1316;airplane - commercial - 1152;bird - flying_bird - 47;display_device - computer_monitor - 551;bird - standing_bird - 30;quadruped - horse - 106;0 - slot_machine - 1806;airplane - glider - 1280;body_part - head - 364;body_part - hand - 337;airplane - fighter_jet - 1238;body_part - hand - 337;lamp - streetlight - 623;cycle - motorcycle - 1481;spaceship - enterprise_like - 1368;building - one_story_home - 432;human - human_arms_out - 243;0 - door - 1721;car - sedan - 1517;0 - slot_machine - 1803;body_part - face - 311;car - race_car - 1511;0 - hat - 1627;table - rectangular - 909;body_part - head - 360;human - walking - 259;building - barn - 462;building - two_story_home - 448;display_device - computer_monitor - 550;table - rectangular - 909;airplane - glider - 1278;spaceship - satellite - 1394;building - one_story_home - 435;0 - fireplace - 1800;tree - barren - 1058;airplane - commercial - 1164;quadruped - horse - 106;furniture - shelves - 856;airplane - fighter_jet - 1228;airplane - glider - 1274;0 - book - 1792;tool - shovel - 1102;vehicle - covered_wagon - 1569;0 - hourglass - 597;airplane - fighter_jet - 1238;blade - axe - 732;airplane - fighter_jet - 1200;human - human_arms_out - 237;underwater_creature - fish - 63;biped - human - 162;underwater_creature - fish - 53;chair - dining_chair - 824;body_part - hand - 334;chair - dining_chair - 808;building - gazebo - 395;0 - door - 1706;building - skyscraper - 466;0 - fireplace - 1800;0 - city - 1646;sea_vessel - ship - 1435;building - one_story_home - 424;0 - door - 1710;car - race_car - 1510;body_part - skull - 377;quadruped - horse - 107;insect - ant - 1;body_part - face - 321;sign - billboard - 1683;cycle - motorcycle - 1479;0 - door - 1715;0 - hat - 1628;car - race_car - 1509;biped - human - 118;sea_vessel - submarine - 1470;body_part - skull - 377;furniture - cabinet - 954;body_part - hand - 332;furniture - cabinet - 955
10;airplane - biplane - 1121;airplane - commercial - 1150;airplane - fighter_jet - 1206;airplane - commercial - 1152;human - walking - 259;body_part - head - 360;underwater_creature - fish - 57;vehicle - covered_wagon - 1568;airplane - fighter_jet - 1204;wheel - gear - 747;aircraft - helicopter - 1306;airplane - fighter_jet - 1216;airplane - fighter_jet - 1232;biped - human - 150;airplane - fighter_jet - 1178;biped - human - 210;spaceship - satellite - 1390;quadruped - rabbit - 112;airplane - fighter_jet - 1188;car - race_car - 1508;wheel - gear - 741;airplane - glider - 1278;body_part - head - 354;airplane - stealth_bomber - 1297;human - human_arms_out - 255;blade - sword - 701;tool - hammer - 1111;0 - fireplace - 1801;human - human_arms_out - 225;display_device - computer_monitor - 554;underwater_creature - sea_turtle - 279;0 - sink - 1810;furniture - shelves - 846;display_device - computer_monitor - 554;aircraft - helicopter - 1330;car - race_car - 1514;liquid_container - vase - 529;table - rectangular - 919;balloon_vehicle - hot_air_balloon - 1344;spaceship - enterprise_like - 1366;quadruped - horse - 104;computer - desktop - 1774;wheel - gear - 746;0 - city - 1654;tree - barren - 1070;airplane - fighter_jet - 1188;computer - desktop - 1773;airplane - biplane - 1121;tree - barren - 1062;0 - ladder - 1643;airplane - fighter_jet - 1180;furniture - shelves - 848;human - human_arms_out - 219;human - walking - 266;furniture - shelves - 846;spaceship - enterprise_like - 1368;aircraft - helicopter - 1336;blade - knife - 722;guitar - electrical_guitar - 636;airplane - fighter_jet - 1240;airplane - fighter_jet - 1184;airplane - fighter_jet - 1218;building - two_story_home - 438;bird - standing_bird - 32;guitar - electrical_guitar - 629;0 - eyeglasses - 580;0 - geographic_map - 1687;airplane - glider - 1273;airplane - fighter_jet - 1202;tree - barren - 1070;building - two_story_home - 450;bird - flying_bird - 39;0 - city - 1656;blade - knife - 719;spaceship - flying_saucer - 1376;airplane - fighter_jet - 1192;0 - geographic_map - 1687;building - two_story_home - 438;aircraft - helicopter - 1302;0 - hourglass - 592;table - rectangular - 903;0 - sink - 1810;body_part - face - 291;building - barn - 458;computer - desktop - 1778;car - race_car - 1508;car - race_car - 1514;vehicle - semi - 1572;airplane - stealth_bomber - 1294;furniture - cabinet - 957;underwater_creature - sea_turtle - 281;display_device - computer_monitor - 557
